Area,Delay,Score,Current Run,Episode,Verilog
N/A,N/A,-0.5,2.0,1,"module adder(output [3:0] sum, output cout, input [3:0] in1, in2, input cin);

wire [3:0] in1_w, in2_w;
wire cin_w;

assign in1_w = in1;
assign in2_w = in2;
assign cin_w = cin;

full_adder FA1(sum[0], in1_w[0], in2_w[0], cin_w, cout_w);
full_adder FA2(sum[1], in1_w[1], in2_w[1], cout_w, cout_w);
full_adder FA3(sum[2], in1_w[2], in2_w[2], cout_w, cout_w);
full_adder FA4(sum[3], in1_w[3], in2_w[3], cout_w, cout_w);

endmodule

module full_adder(output sum, output cout, input in1, in2, input cin);

wire x, y, z;

xor(sum, in1, in2, cin);
and(x, in1, in2);
and(y, in1, cin);
and(z, in2, cin);
or(cout, x, y, z);

endmodule"
N/A,N/A,-1,3.0,1,"module adder(output [3:0] sum, output cout, input [3:0] in1, in2, input cin);

    wire [3:0] sum;
    wire cout;
    wire [3:0] in1;
    wire [3:0] in2;
    wire cin;

    output [3:0] out;

    wire [3:0] out;

    wire [3:0] out1;
    wire [3:0] out2;

    wire [3:0] out3;
    wire [3:0] out4;

    wire [3:0] out5;
    wire [3:0] out6;

    wire [3:0] out7;
    wire [3:0] out8;

    wire [3:0] out9;
    wire [3:0] out10;

    wire [3:0] out11;
    wire [3:0] out12;

    wire [3:0] out13;
    wire [3:0] out14;

    wire [3:0] out15;
    wire [3:0] out16;

    wire [3:0] out17;
    wire [3:0] out18;

    wire [3:0] out19;
    wire [3:0] out20;

    wire [3:0] out21;
    wire [3:0] out22;

    wire [3:0] out23;
    wire [3:0] out24;

    wire [3:0] out25;
    wire [3:0] out26;

    wire [3:0] out27;
    wire [3:0] out28;

    wire [3:0] out29;
    wire [3:0] out30;

    wire [3:0] out31;
    wire [3:0] out32;

    wire [3:0] out33;
    wire [3:0] out34;

    wire [3:0] out35;
    wire [3:0] out36;

    wire [3:0] out37;
    wire [3:0] out38;

    wire [3:0] out39;
    wire [3:0] out40;

    wire [3:0] out41;
    wire [3:0] out42;

    wire [3:0] out43;
    wire [3:0] out44;

    wire [3:0] out45;
    wire [3:0] out46;

    wire [3:0] out47;
    wire [3:0] out48;

    wire [3:0] out49;
    wire [3:0] out50;

    wire [3:0] out51;
    wire [3:0] out52;

    wire [3:0] out53;
    wire [3:0] out54;

    wire [3:0] out55;
    wire [3:0] out56;

    wire [3:0] out57;
    wire [3:0] out58;

    wire [3:0] out59;
    wire [3:0] out60;

    wire [3:0] out61;
    wire [3:0] out62;

    wire [3:0] out63;
    wire [3:0] out64;

    wire [3:0] out65;
    wire [3:0] out66;

    wire [3:0] out67;
    wire [3:0] out68;

    wire [3:0] out69;
    wire [3:0] out70;

    wire [3:0] out71;
    wire [3:0] out72;

    wire [3:0] out73;
    wire [3:0] out74;

    wire [3:0] out75;
    wire [3:0] out76;

    wire [3:0] out77;
    wire [3:0] out78;

    wire [3:0] out79;
    wire [3:0] out80;

    wire [3:0] out81;
    wire [3:0] out82;

    wire [3:0] out83;
    wire [3:0] out84;

    wire [3:0] out85;
    "
N/A,N/A,-0.5,4.0,1,"module adder(output [3:0] sum, output cout, input [3:0] in1, in2, input cin);

wire [3:0] in1_w, in2_w;
wire cin_w;

assign in1_w = in1;
assign in2_w = in2;
assign cin_w = cin;

full_adder FA1(sum[0], in1_w[0], in2_w[0], cin_w, cout_w);
full_adder FA2(sum[1], in1_w[1], in2_w[1], cout_w, cout_w);
full_adder FA3(sum[2], in1_w[2], in2_w[2], cout_w, cout_w);
full_adder FA4(sum[3], in1_w[3], in2_w[3], cout_w, cout_w);

endmodule

module full_adder(output sum, output cout, input in1, in2, input cin);

wire x, y, z;

xor(sum, in1, in2, cin);
and(x, in1, in2);
and(y, in1, cin);
and(z, in2, cin);
or(cout, x, y, z);

endmodule"
N/A,N/A,-0.5,5.0,1,"module adder(output [3:0] sum, output cout, input [3:0] in1, in2, input cin);   

wire [3:0] in1_w, in2_w;
wire cin_w;

assign in1_w = in1;
assign in2_w = in2;
assign cin_w = cin;

full_adder FA1(sum[0], in1_w[0], in2_w[0], cin_w, cout_w);
full_adder FA2(sum[1], in1_w[1], in2_w[1], cout_w, cout_w);
full_adder FA3(sum[2], in1_w[2], in2_w[2], cout_w, cout_w);
full_adder FA4(sum[3], in1_w[3], in2_w[3], cout_w, cout_w);

endmodule

module full_adder(output sum, output cout, input in1, in2, input cin);

wire x, y, z;

xor(sum, in1, in2, cin);
and(x, in1, in2);
and(y, in1, cin);
and(z, in2, cin);
or(cout, x, y, z);

endmodule"
N/A,N/A,-1,6.0,1,"module adder(output [3:0] sum, output cout, input [3:0] in1, in2, input cin);
	wire [3:0] c;
	
	adder_1bit a1(sum[0], c[0], in1[0], in2[0], cin);
	adder_1bit a2(sum[1], c[1], in1[1], in2[1], c[0]);
	adder_1bit a3(sum[2], c[2], in1[2], in2[2], c[1]);
	adder_1bit a4(sum[3], cout, in1[3], in2[3], c[2]);
	
endmodule

module adder_1bit(output sum, cout, input in1, in2, cin);
	wire [1:0] c;
	
	adder_1bit a1(sum, c[0], in1, in2, cin);
	adder_1bit a2(cout, c[1], c[0], in1, in2);
	
endmodule"
N/A,N/A,-1,7.0,1,"module adder(output [3:0] sum, output cout, input [3:0] in1, in2, input cin); 

wire c1, c2, c3;

adder4bit u1(sum[3:0], c1, in1[3:0], in2[3:0], cin);
adder4bit u2(sum[7:4], c2, in1[7:4], in2[7:4], c1);
adder4bit u3(sum[11:8], c3, in1[11:8], in2[11:8], c2);
adder4bit u4(sum[15:12], cout, in1[15:12], in2[15:12], c3);

endmodule

module adder4bit(output [3:0] sum, output cout, input [3:0] in1, in2, input cin);

wire c1, c2, c3;

adder u1(sum[0], c1, in1[0], in2[0], cin);
adder u2(sum[1], c2, in1[1], in2[1], c1);
adder u3(sum[2], c3, in1[2], in2[2], c2);
adder u4(sum[3], cout, in1[3], in2[3], c3);

endmodule"
N/A,N/A,-0.5,8.0,1,"module adder(output [3:0] sum, output cout, input [3:0] in1, in2, input cin);
    wire [3:0] in1, in2;
    wire cin;
    wire [3:0] sum;
    wire cout;
    
    assign in1 = in1;
    assign in2 = in2;
    assign cin = cin;
    
    assign sum = sum;
    assign cout = cout;
    
endmodule"
N/A,N/A,-0.5,9.0,1,"module adder(output [3:0] sum, output cout, input [3:0] in1, in2, input cin);   

wire [3:0] in1_w, in2_w;
wire cin_w;

assign in1_w = in1;
assign in2_w = in2;
assign cin_w = cin;

full_adder FA1(sum[0], in1_w[0], in2_w[0], cin_w, cout_w);
full_adder FA2(sum[1], in1_w[1], in2_w[1], cout_w, cout_w);
full_adder FA3(sum[2], in1_w[2], in2_w[2], cout_w, cout_w);
full_adder FA4(sum[3], in1_w[3], in2_w[3], cout_w, cout_w);

endmodule

module full_adder(output sum, output cout, input in1, in2, input cin);

wire x, y, z;

xor(sum, in1, in2, cin);
and(x, in1, in2);
and(y, in1, cin);
and(z, in2, cin);
or(cout, x, y, z);

endmodule"
N/A,N/A,-0.5,10.0,1,"module adder(output [3:0] sum, output cout, input [3:0] in1, in2, input cin);

    wire [3:0] sum;
    wire cout;
    wire [3:0] in1;
    wire [3:0] in2;
    wire cin;

    /// This is a 4-bit adder
    assign sum = in1 + in2 + cin;
    assign cout = (in1[3] & in2[3] & cin) | (in1[3] & in2[3] & ~cin) | (~in1[3] & ~in2[3] & cin);

endmodule"
N/A,N/A,-0.5,11.0,1,"module adder(output [3:0] sum, output cout, input [3:0] in1, in2, input cin);

wire [3:0] in1_w, in2_w;
wire cin_w;

assign in1_w = in1;
assign in2_w = in2;
assign cin_w = cin;

full_adder FA1(sum[0], in1_w[0], in2_w[0], cin_w, cout_w);
full_adder FA2(sum[1], in1_w[1], in2_w[1], cout_w, cout_w);
full_adder FA3(sum[2], in1_w[2], in2_w[2], cout_w, cout_w);
full_adder FA4(sum[3], in1_w[3], in2_w[3], cout_w, cout_w);

endmodule

module full_adder(output sum, output cout, input in1, in2, input cin);

wire x, y, z;

xor(sum, in1, in2, cin);
and(x, in1, in2);
and(y, in1, cin);
and(z, in2, cin);
or(cout, x, y, z);

endmodule"
