Area,Delay,Score,Current Run,Episode,Verilog
N/A,N/A,-0.5,2.0,1,"module adder_8(output [7:0] sum,
                      output cout,
                      input [7:0] in1, in2,
                      input cin);
  wire c1, c2, c3, c4, c5, c6, c7;
  wire [7:0] sum;
  
  nand #(8) n1(c1, in1[0], in2[0]);
  nand #(8) n2(c2, in1[1], in2[1]);
  nand #(8) n3(c3, in1[2], in2[2]);
  nand #(8) n4(c4, in1[3], in2[3]);
  nand #(8) n5(c5, in1[4], in2[4]);
  nand #(8) n6(c6, in1[5], in2[5]);
  nand #(8) n7(c7, in1[6], in2[6]);
  nand #(8) n8(sum[0], in1[7], in2[7]);
  nand #(8) n9(sum[1], c1,    in2[0]);
  nand #(8) n10(sum[2], c2,    in2[1]);
  nand #(8) n11(sum[3], c3,    in2[2]);
  nand #(8) n12(sum[4], c4,    in2[3]);
  nand #(8) n13(sum[5], c5,    in2[4]);
  nand #(8) n14(sum[6], c6,    in2[5]);
  nand #(8) n15(sum[7], c7,    in2[6]);
  nand #(1) n16(cout, c7, c6, c5, c4, c3, c2, c1);
endmodule"
N/A,N/A,-1,3.0,1,"module adder_8(output [7:0] sum,
                      output cout,
                      input [7:0] in1, in2,
                      input cin);

    wire [7:0] sum;
    wire cout;
    wire [7:0] in1;
    wire [7:0] in2;
    wire cin;

    eight_bit_adder adder(sum, cout, in1, in2, cin);

endmodule

<<<<<<< HEAD
Module eight_bit_adder(output [7:0] sum,
                      output cout,
                      input [7:0] in1, in2,
                      input cin);

    wire [7:0] sum;
    wire cout;
    wire [7:0] in1;
    wire [7:0] in2;
    wire cin;

    wire [7:0] sum;
    wire cout;
    wire [7:0] in1;
    wire [7:0] in2;
    wire cin;

    wire [7:0] sum;
    wire cout;
    wire [7:0] in1;
    wire [7:0] in2;
    wire cin;

    wire [7:0] sum;
    wire cout;
    wire [7:0] in1;
    wire [7:0] in2;
    wire cin;

    wire [7:0] sum;
    wire cout;
    wire [7:0] in1;
    wire [7:0] in2;
    wire cin;

    wire [7:0] sum;
    wire cout;
    wire [7:0] in1;
    wire [7:0] in2;
    wire cin;

    wire [7:0] sum;
    wire cout;
    wire [7:0] in1;
    wire [7:0] in2;
    wire cin;

    wire [7:0] sum;
    wire cout;
    wire [7:0] in1;
    wire [7:0] in2;
    wire cin;

    wire [7:0] sum;
    wire cout;
    wire [7:0] in1;
    wire [7:0] in2;
    wire cin;

    wire [7:0] sum;
    wire cout;
    wire [7:0] in1;
    wire [7:0] in2;
    wire cin;

    wire [7:0] sum;
    wire cout;
    wire [7:0] in1;
    wire [7:0] in2;
    wire cin;

    wire [7:0] sum;
    wire cout;
    wire [7:0] in1;
    wire [7:0] in2;
    wire cin;

    wire [7:0] sum;
    wire cout;
    wire [7:0] in1;
    wire [7:0] in2;
    wire cin;

    wire [7:0] sum;
    wire cout;
    wire [7:0] in1;
    wire [7:0] in2;
    wire cin;

    wire [7:0] sum;
    wire cout;
    wire [7:0] in1;
    wire [7:0] in2;
    wire cin;

    wire [7:0] sum;
    wire cout;
    wire [7:0] in1;
    wire [7:0] in2;
    wire cin;

    wire [7:0] sum;
    wire cout;
    wire [7:0] in1;
    wire [7:0] in2;
    wire cin;

    wire [7:0] sum;
    wire cout;
    wire [7:0] in1;
    wire [7:0] in2;
    wire cin;

    wire [7:0] sum;
    wire cout;
    wire [7:0] in1;
    wire [7:0] in2;
    wire cin;

    wire [7:0] sum;
    wire cout;
    wire [7:0] in1;
    wire [7:0] in2;
    wire cin;

    wire [7:0] sum;
    wire cout;
    wire [7:0] in1;
    wire [7:0] in2;
    wire cin;

    wire [7:0] sum;
    wire cout;
    wire [7:0] in1;
    wire [7:0] in2;
    wire cin;

    wire [7:0] sum;
    wire cout;
    wire [7:0] in1;
    wire [7:0] in2;
    wire cin;

    wire [7:0] sum;
    wire cout;
    wire [7:0] in1;
    wire [7:0] in2;
    wire cin;

    wire [7:0] sum;
    wire cout;
    wire [7:0] in1;
    wire [7:0] in2;
    wire cin;

    wire [7:0] sum;
    wire cout;
    wire [7:0] in1;
    wire [7:0] in2;
    wire cin;

    wire [7:0] sum;
    wire cout;
    wire [7:0] in1;
    wire [7:0] in2;
    wire cin;

    wire [7:0] sum;
    wire cout;
    wire [7:0] in1;
    wire [7:0] in2;
    wire cin;

    wire [7:0] sum;
    wire cout;
    wire [7:0] in1;
    wire [7:0] in2;
    wire cin;

    wire [7:0] sum;
    wire cout;
    wire [7:0] in1;
    wire [7:0] in2;
    wire cin;

    wire [7:0] sum;
    wire cout;
    wire [7:0] in1;
    wire [7:0] in2;
    wire cin;

    wire [7:0] sum;
    wire cout;
    wire [7:0] in1;
    wire [7:0] in2;
    wire cin;

    wire [7:"
79.534,355.53,35.36477686232257,4.0,1,"module adder_8(output [7:0] sum,
                      output cout,
                      input [7:0] in1, in2,
                      input cin);
  wire c1, c2, c3, c4, c5, c6, c7;
  wire [7:0] sum;
  
  one_bit_full_adder add1(sum[0], c1, in1[0], in2[0], cin);
  one_bit_full_adder add2(sum[1], c2, in1[1], in2[1], c1);
  one_bit_full_adder add3(sum[2], c3, in1[2], in2[2], c2);
  one_bit_full_adder add4(sum[3], c4, in1[3], in2[3], c3);
  one_bit_full_adder add5(sum[4], c5, in1[4], in2[4], c4);
  one_bit_full_adder add6(sum[5], c6, in1[5], in2[5], c5);
  one_bit_full_adder add7(sum[6], c7, in1[6], in2[6], c6);
  one_bit_full_adder add8(sum[7], cout, in1[7], in2[7], c7);
endmodule

module one_bit_full_adder(output sum,
                          output cout,
                          input in1, in2, cin);
  wire x, y, z;
  
  xor(sum, in1, in2, cin);
  and(x, in1, in2);
  and(y, in1, cin);
  and(z, in2, cin);
  or(cout, x, y, z);
endmodule"
73.416,346.83,39.27286868018916,5.0,1,"module adder_8(output [7:0] sum,
                      output cout,
                      input [7:0] in1, in2,
                      input cin);
  wire c1, c2, c3, c4, c5, c6, c7;
  wire [7:0] sum;
  
  bitwise_full_adder adder_1(sum[0], c1, in1[0], in2[0], cin);
  bitwise_full_adder adder_2(sum[1], c2, in1[1], in2[1], c1);
  bitwise_full_adder adder_3(sum[2], c3, in1[2], in2[2], c2);
  bitwise_full_adder adder_4(sum[3], c4, in1[3], in2[3], c3);
  bitwise_full_adder adder_5(sum[4], c5, in1[4], in2[4], c4);
  bitwise_full_adder adder_6(sum[5], c6, in1[5], in2[5], c5);
  bitwise_full_adder adder_7(sum[6], c7, in1[6], in2[6], c6);
  bitwise_full_adder adder_8(sum[7], cout, in1[7], in2[7], c7);
endmodule

module bitwise_full_adder(output sum,
                          output cout,
                          input in1, in2, cin);
  wire w1, w2, w3;
  xor(w1, in1, in2);
  xor(sum, w1, cin);
  and(w2, w1, cin);
  and(w3, in1, in2);
  or(cout, w2, w3);
endmodule"
73.416,346.83,39.27286868018916,6.0,1,"module adder_8(output [7:0] sum,
                      output cout,
                      input [7:0] in1, in2,
                      input cin);
  wire c1, c2, c3, c4, c5, c6, c7;
  wire [7:0] sum;
  
  two_bit_full_adder add1(sum[0], c1, in1[0], in2[0], cin);
  two_bit_full_adder add2(sum[1], c2, in1[1], in2[1], c1);
  two_bit_full_adder add3(sum[2], c3, in1[2], in2[2], c2);
  two_bit_full_adder add4(sum[3], c4, in1[3], in2[3], c3);
  two_bit_full_adder add5(sum[4], c5, in1[4], in2[4], c4);
  two_bit_full_adder add6(sum[5], c6, in1[5], in2[5], c5);
  two_bit_full_adder add7(sum[6], c7, in1[6], in2[6], c6);
  two_bit_full_adder add8(sum[7], cout, in1[7], in2[7], c7);
endmodule

module two_bit_full_adder(output wire sum,
                          output wire cout,
                          input wire in1, in2, cin);
  wire a, b, c;
  xor(a, in1, in2);
  xor(sum, a, cin);
  and(b, a, cin);
  and(c, in1, in2);
  or(cout, b, c);
endmodule"
N/A,N/A,-0.5,7.0,1,"module adder_8(output [7:0] sum,
                      output cout,
                      input [7:0] in1, in2,
                      input cin);
  wire c1, c2, c3, c4, c5, c6, c7;
  wire [7:0] sum;
  
  ha_8 HA1(sum[0], c1, in1[0], in2[0]);
  fa_8 FA1(sum[1], c2, in1[1], in2[1], c1);
  fa_8 FA2(sum[2], c3, in1[2], in2[2], c2);
  fa_8 FA3(sum[3], c4, in1[3], in2[3], c3);
  fa_8 FA4(sum[4], c5, in1[4], in2[4], c4);
  fa_8 FA5(sum[5], c6, in1[5], in2[5], c5);
  fa_8 FA6(sum[6], c7, in1[6], in2[6], c6);
  fa_8 FA7(sum[7], cout, in1[7], in2[7], c7);
endmodule

module fa_8(output wire sum,
             output wire cout,
             input wire in1, in2, cin);
  xor(sum, in1, in2, cin);
  and(cout, in1, in2);
endmodule

module ha_8(output wire sum,
             output wire cout,
             input wire in1, in2);
  xor(sum, in1, in2);
  and(cout, in1, in2);
endmodule"
N/A,N/A,-0.5,8.0,1,"module adder_8(output [7:0] sum,
                      output cout,
                      input [7:0] in1, in2,
                      input cin);
  wire c1, c2, c3, c4, c5, c6, c7;
  wire [7:0] sum;
  
  ////////A simple carry-select adder
  single_bit_adder adder1(sum[0], c1, in1[0], in2[0], cin);
  single_bit_adder adder2(sum[1], c2, in1[1], in2[1], c1);
  single_bit_adder adder3(sum[2], c3, in1[2], in2[2], c2);
  single_bit_adder adder4(sum[3], c4, in1[3], in2[3], c3);
  single_bit_adder adder5(sum[4], c5, in1[4], in2[4], c4);
  single_bit_adder adder6(sum[5], c6, in1[5], in2[5], c5);
  single_bit_adder adder7(sum[6], c7, in1[6], in2[6], c6);
  single_bit_adder adder8(sum[7], cout, in1[7], in2[7], c7);
endmodule

module single_bit_adder(output sum,
                         output cout,
                         input in1, in2, cin);
  wire x, y, z;
  
  master_slave_adder adder1(sum, x, in1, in2, cin);
  master_slave_adder adder2(cout, y, x, in2, 1'b0);
endmodule

module master_slave_adder(output sum,
                          output cout,
                          input in1, in2, cin);
  wire x, y, z;
  
  slave_adder adder1(sum, x, in1, in2, cin);
  slave_adder adder2(cout, y, x, in2, 1'b0);
endmodule

module slave_adder(output sum,
                    output cout,
                    input in1, in2, cin);
  wire x, y, z;
  
  assign sum = in1 ^ in2;
  assign cout = (in1 & in2) | (in1 ^ in2);
endmodule"
N/A,N/A,-1,9.0,1,"module adder_8(output [7:0] sum,
                      output cout,
                      input [7:0] in1, in2,
                      input cin);
  wire c1, c2, c3, c4, c5, c6, c7;
  wire [7:0] sum;
  
  Carry_Select_Adder_8bit CS_Adder(sum[7:0], c1, in1[7:0], in2[7:0], cin);
  Carry_Select_Adder_8bit CS_Adder_1(sum[15:8], c2, in1[15:8], in2[15:8], c1);
  Carry_Select_Adder_8bit CS_Adder_2(sum[23:16], c3, in1[23:16], in2[23:16], c2);
  Carry_Select_Adder_8bit CS_Adder_3(sum[31:24], c4, in1[31:24], in2[31:24], c3);
  Carry_Select_Adder_8bit CS_Adder_4(sum[39:32], c5, in1[39:32], in2[39:32], c4);
  Carry_Select_Adder_8bit CS_Adder_5(sum[47:40], c6, in1[47:40], in2[47:40], c5);
  Carry_Select_Adder_8bit CS_Adder_6(sum[55:48], c7, in1[55:48], in2[55:48], c6);
  Carry_Select_Adder_8bit CS_Adder_7(sum[63:56], cout, in1[63:56], in2[63:56], c7);
endmodule

module Carry_Select_Adder_8bit(output [7:0] sum,
                      output cout,
                      input [7:0] in1, in2,
                      input cin);
  wire c1, c2, c3, c4, c5, c6, c7;
  wire [7:0] sum;
  
  Carry_Select_Adder_8bit_1 CS_Adder_1(sum[7:0], c1, in1, in2, cin);
  Carry_Select_Adder_8bit_2 CS_Adder_2(sum[15:8], c2, in1, in2, c1);
  Carry_Select_Adder_8bit_3 CS_Adder_3(sum[23:16], c3, in1, in2, c2);
  Carry_Select_Adder_8bit_4 CS_Adder_4(sum[31:24], c4, in1, in2, c3);
  Carry_Select_Adder_8bit_5 CS_Adder_5(sum[39:32], c5, in1, in2, c4);
  Carry_Select_Adder_8bit_6 CS_Adder_6(sum[47:40], c6, in1, in2, c5);
  Carry_Select_Adder_8bit_7 CS_Adder_7(sum[55:48], c7, in1, in2, c6);
  Carry_Select_Adder_8bit_8 CS_Adder_8(sum[63:56], cout, in1, in2, c7);
endmodule

module Carry_Select_Adder_8bit_1(output [7:0] sum,
                      output cout,
                      input [7:0] in1, in2,
                      input cin);
  wire c1, c2, c3, c4, c5, c6, c7;
  wire [7:0] sum;
  
  Carry_Select_Adder_8bit_1 CS_Adder_1(sum[7:0], c1, in1, in2, cin);
  Carry_Select_Adder_8bit_2 CS_Adder_2(sum[15:8], c2, in1, in2, c1);
  Carry_Select_Adder_8bit_3 CS_Adder_3(sum[23:16], c3, in1, in2, c2);
  Carry_Select_Adder_8bit_4 CS_Adder_4(sum[31:24], c4, in1, in2, c3);
  Carry_Select_Adder_8bit_5 CS_Adder_5(sum[39:32], c5, in1, in2, c4);
  Carry_Select_Adder_8bit_6 CS_Adder_6(sum[47:40], c6, in1, in2, c5);
  Carry_Select_Adder_8bit_7 CS_Adder_7(sum[55:48], c7, in1, in2, c6);
  Carry_Select_Adder_8bit_8 CS_Adder_8(sum[63:56], cout, in1, in2, c7);
endmodule

module Carry_Select_Adder_8bit_2(output [7:0] sum,
                      output cout,
                      input [7:0] in1, in2,
                      input cin);
  wire c1, c2, c3, c4, c5, c6, c7;
  wire [7:0] sum;
  
  Carry_Select_Adder_8bit_1 CS_Adder_1(sum[7:0], c1, in1, in2, cin);
  Carry_Select_Adder_8bit_3 CS_Adder_2(sum[15:8], c2, in1, in2, c1);
  Carry_Select_Adder_8bit_4 CS_Adder_3(sum[23:16], c3, in1, in2, c2);
  Carry_Select_Adder_8bit_5 CS_Adder_4(sum[31:24], c4, in1, in2, c3);
  Carry_Select_Adder_8bit_6 CS_Adder_5(sum[39:32], c5, in1, in2, c4);
  Carry_Select_Adder_8bit_7 CS_Adder_6(sum[47:40], c6, in"
N/A,N/A,-0.5,10.0,1,"module adder_8(output [7:0] sum,
                      output cout,
                      input [7:0] in1, in2,
                      input cin);
  wire c0, c1, c2, c3, c4, c5, c6, c7;
  wire [7:0] sum;
  
  nand #(8) n0(c0, in1[0], in2[0]);
  nand #(8) n1(c1, in1[1], in2[1]);
  nand #(8) n2(c2, in1[2], in2[2]);
  nand #(8) n3(c3, in1[3], in2[3]);
  nand #(8) n4(c4, in1[4], in2[4]);
  nand #(8) n5(c5, in1[5], in2[5]);
  nand #(8) n6(c6, in1[6], in2[6]);
  nand #(8) n7(c7, in1[7], in2[7]);
  
  nand #(8) n8(sum[0], in1[0], in2[0], cin);
  nand #(8) n9(sum[1], in1[1], in2[1], c0);
  nand #(8) na(sum[2], in1[2], in2[2], c1);
  nand #(8) nb(sum[3], in1[3], in2[3], c2);
  nand #(8) nc(sum[4], in1[4], in2[4], c3);
  nand #(8) nd(sum[5], in1[5], in2[5], c4);
  nand #(8) ne(sum[6], in1[6], in2[6], c5);
  nand #(8) nf(sum[7], in1[7], in2[7], c6);
  
  nand #(1) n10(cout, c7, cin);
endmodule"
N/A,N/A,-1,11.0,1,"module adder_8(output [7:0] sum,
                      output cout,
                      input [7:0] in1, in2,
                      input cin);
  wire c1;
  wire c2;
  wire c3;
  wire c4;
  wire c5;
  wire c6;
  wire c7;
  wire c8;
  wire c9;
  wire c10;
  wire c11;
  wire c12;
  wire c13;
  wire c14;
  wire c15;
  wire c16;
  wire c17;
  wire c18;
  wire c19;
  wire c20;
  wire c21;
  wire c22;
  wire c23;
  wire c24;
  wire c25;
  wire c26;
  wire c27;
  wire c28;
  wire c29;
  wire c30;
  wire c31;
  wire c32;
  wire c33;
  wire c34;
  wire c35;
  wire c36;
  wire c37;
  wire c38;
  wire c39;
  wire c40;
  wire c41;
  wire c42;
  wire c43;
  wire c44;
  wire c45;
  wire c46;
  wire c47;
  wire c48;
  wire c49;
  wire c50;
  wire c51;
  wire c52;
  wire c53;
  wire c54;
  wire c55;
  wire c56;
  wire c57;
  wire c58;
  wire c59;
  wire c60;
  wire c61;
  wire c62;
  wire c63;
  wire c64;
  wire c65;
  wire c66;
  wire c67;
  wire c68;
  wire c69;
  wire c70;
  wire c71;
  wire c72;
  wire c73;
  wire c74;
  wire c75;
  wire c76;
  wire c77;
  wire c78;
  wire c79;
  wire c80;
  wire c81;
  wire c82;
  wire c83;
  wire c84;
  wire c85;
  wire c86;
  wire c87;
  wire c88;
  wire c89;
  wire c90;
  wire c91;
  wire c92;
  wire c93;
  wire c94;
  wire c95;
  wire c96;
  wire c97;
  wire c98;
  wire c99;
  wire c100;
  wire c101;
  wire c102;
  wire c103;
  wire c104;
  wire c105;
  wire c106;
  wire c107;
  wire c108;
  wire c109;
  wire c110;
  wire c111;
  wire c112;
  wire c113;
  wire c114;
  wire c115;
  wire c116;
  wire c117;
  wire c118;
  wire c119;
  wire c120;
  wire c121;
  wire c122;
  wire c123;
  wire c124;
  wire c125;
  wire c126;
  wire c127;
  wire c128;
  wire c129;
  wire c130;
  wire c131;
  wire c132;
  wire c133;
  wire c134;
  wire c135;
  wire c136;
  wire c137;
  wire c138;
  wire c139;
  wire c140;
  wire c141;
  wire c142;
  wire c143;
  wire c144;
  wire c145;
  wire c146;
  wire c147;
  wire c148;
  wire c149;
  wire c150;
  wire c151;
  wire c152;
  wire c153;
  wire c154;
  wire c155;
  wire c156;
  wire c157;
  wire c158;
  wire c159;
  wire c160;
  wire c161;
  wire c162;
  wire c163;
  wire c164;
  wire c165;
  wire c166;
  wire c167;
  wire c168;
  wire c169;
  wire c170;
  wire c171;
  wire c172;
  wire c173;
  wire c174;
  wire c175;
  wire c176;
  wire c177;
  wire c178;
  wire c179;
  wire c180;
  wire c181;
  wire c182;
  wire c183;
  wire c184;
  wire c185;
  wire c186;
  wire c187;
  wire c188;
  wire c189;
  wire c190;
  wire c191;
  wire c192;
  wire c193;
  wire c194;
  wire c195;
  wire c196;
  wire c197;
  wire c198;
  wire c199;
  wire c200;
  wire c201;
  wire c202;
  wire c203;
  wire c204;
  wire c205;
  wire c206;
  wire c207;
  wire c208;
  wire c209;
  wire c210;
  wire c211;
  wire c212;
  wire c213;
  wire c214;
  wire c215;
  wire c216;
  wire c217;
  wire c218;
  wire c219;
  wire c220;
  wire c221;
  wire c222;
  wire c223;
  wire c224;
  wire c225;
  wire c226;
  wire c227;
  wire c228;
  wire c229;
  wire c230;
  wire c231;
  wire c232;
  wire c233;
  wire c234;
  wire c235;
  wire c236;
  wire c237;
  wire c238;
  wire c239;
  wire c240;
  wire c241;
  wire c242;
  wire c243;
  wire c244;
  wire c245;
  wire c246;
  wire c247;
  wire c248;
  wire c249;
  wire c250;"
