Area,Delay,Score,Current Run,Episode,Verilog
N/A,N/A,-1,2.0,1,"//Please finish designing the 16 bit multiplier module (multiplier_16) below.
//There are two 16 bit inputs (A and B) and a 32 bit output (product).
//The module should utilize the inputs (A and B) to determine the output product correctly in its implementation.
module multiplier_16(output [31:0] product, input [15:0] A, B);
	wire [15:0] A_temp, B_temp;
	wire [31:0] product_temp;
	
	assign A_temp = A;
	assign B_temp = B;
	
	multiplier_8 m1(product_temp[15:8], A_temp, B_temp);
	multiplier_8 m2(product_temp[23:16], A_temp, B_temp);
	
	assign product = product_temp;
endmodule

module multiplier_8(output [7:0] product, input [7:0] A, B);
	wire [7:0] A_temp, B_temp;
	wire [15:0] product_temp;
	
	assign A_temp = A;
	assign B_temp = B;
	
	multiplier_4 m1(product_temp[7:4], A_temp, B_temp);
	multiplier_4 m2(product_temp[11:8], A_temp, B_temp);
	
	assign product = product_temp;
endmodule

module multiplier_4(output [3:0] product, input [3:0] A, B);
	wire [3:0] A_temp, B_temp;
	wire [7:0] product_temp;
	
	assign A_temp = A;
	assign B_temp = B;
	
	multiplier_2 m1(product_temp[7:4], A_temp, B_temp);
	multiplier_2 m2(product_temp[11:8], A_temp, B_temp);
	
	assign product = product_temp;
endmodule

module multiplier_2(output [1:0] product, input [1:0] A, B);
	wire [1:0] A_temp, B_temp;
	wire [3:0] product_temp;
	
	assign A_temp = A;
	assign B_temp = B;
	
	multiplier_1 m1(product_temp[3:2], A_temp, B_temp);
	multiplier_1 m2(product_temp[1:0], A_temp, B_temp);
	
	assign product = product_temp;
endmodule

module multiplier_1(output [1:0] product, input [1:0] A, B);
	wire [1:0] A_temp, B_temp;
	wire [4:0] product_temp;
	
	assign A_temp = A;
	assign B_temp = B;
	
	multiplier_4 m1(product_temp[4:2], A_temp, B_temp);
	multiplier_4 m2(product_temp[1:0], A_temp, B_temp);
	
	assign product = product_temp;
endmodule"
N/A,N/A,-1,3.0,1,"//Please finish designing the 16 bit multiplier module (multiplier_16) below.
//There are two 16 bit inputs (A and B) and a 32 bit output (product).
//The module should utilize the inputs (A and B) to determine the output product correctly in its implementation.
module multiplier_16(output [31:0] product, input [15:0] A, B);

	wire [15:0] A_temp;
	wire [15:0] B_temp;
	wire [15:0] product_temp;

	assign A_temp = A;
	assign B_temp = B;

	assign product = product_temp;

	HALF_ADDER HA0(product_temp[0], A_temp[0], B_temp[0]);
	HALF_ADDER HA1(product_temp[1], A_temp[1], B_temp[1]);
	HALF_ADDER HA2(product_temp[2], A_temp[2], B_temp[2]);
	HALF_ADDER HA3(product_temp[3], A_temp[3], B_temp[3]);
	HALF_ADDER HA4(product_temp[4], A_temp[4], B_temp[4]);
	HALF_ADDER HA5(product_temp[5], A_temp[5], B_temp[5]);
	HALF_ADDER HA6(product_temp[6], A_temp[6], B_temp[6]);
	HALF_ADDER HA7(product_temp[7], A_temp[7], B_temp[7]);
	HALF_ADDER HA8(product_temp[8], A_temp[8], B_temp[8]);
	HALF_ADDER HA9(product_temp[9], A_temp[9], B_temp[9]);
	HALF_ADDER HA10(product_temp[10], A_temp[10], B_temp[10]);
	HALF_ADDER HA11(product_temp[11], A_temp[11], B_temp[11]);
	HALF_ADDER HA12(product_temp[12], A_temp[12], B_temp[12]);
	HALF_ADDER HA13(product_temp[13], A_temp[13], B_temp[13]);
	HALF_ADDER HA14(product_temp[14], A_temp[14], B_temp[14]);
	HALF_ADDER HA15(product_temp[15], A_temp[15], B_temp[15]);

endmodule

module multiplier_32(output [31:0] product, input [31:0] A, B);

	wire [31:0] A_temp;
	wire [31:0] B_temp;
	wire [31:0] product_temp;

	assign A_temp = A;
	assign B_temp = B;

	assign product = product_temp;

	multiplier_16 m16_1(product_temp[15:0], A_temp[15:0], B_temp[15:0]);
	multiplier_16 m16_2(product_temp[31:16], A_temp[31:16], B_temp[31:16]);

endmodule

module multiplier_64(output [63:0] product, input [63:0] A, B);

	wire [63:0] A_temp;
	wire [63:0] B_temp;
	wire [63:0] product_temp;

	assign A_temp = A;
	assign B_temp = B;

	assign product = product_temp;

	multiplier_32 m32_1(product_temp[31:0], A_temp[31:0], B_temp[31:0]);
	multiplier_32 m32_2(product_temp[63:32], A_temp[63:32], B_temp[63:32]);

endmodule

module multiplier_128(output [127:0] product, input [127:0] A, B);

	wire [127:0] A_temp;
	wire [127:0] B_temp;
	wire [127:0] product_temp;

	assign A_temp = A;
	assign B_temp = B;

	assign product = product_temp;

	multiplier_64 m64_1(product_temp[63:0], A_temp[63:0], B_temp[63:0]);
	multiplier_64 m64_2(product_temp[127:64], A_temp[127:64], B_temp[127:64]);

endmodule

module multiplier_256(output [255:0] product, input [255:0] A, B);

	wire [255:0] A_temp;
	wire [255:0] B_temp;
	wire [255:0] product_temp;

	assign A_temp = A;
	assign B_temp = B;

	assign product = product_temp;

	multiplier_128 m128_1(product_temp[127:0], A_temp[127:0], B_temp[127:0]);
	multiplier_128 m128_2(product_temp[255:128], A_temp[255:128], B_temp[255:128]);

endmodule

module multiplier_512(output [511:0] product, input [511:0] A, B);

	wire [511:0] A_temp;
	wire [511:0] B_temp;
	wire [511:0] product_temp;

	assign A_temp = A;
	assign B_temp = B;

	assign product = product_temp;

	multiplier_256 m256_1(product_temp[511:256], A_temp[511:256], B_temp[511:256]);
	multiplier_256 m256_2(product_temp[1535:512], A_temp[1535:512], B_temp[1535:512]);

endmodule

module multiplier_1024(output [1023:0] product, input [1023:0] A, B);

	wire [1023:0] A_temp;
	wire [1023:0] B_temp;
	wire [1023:0] product_temp;

	assign A_temp = A;
	assign B_temp = B;

	assign product = product_temp;

	multiplier_512 m512_1(product_temp[511:512], A_temp[511:512], B_temp[511:512]);
	multiplier_512 m"
N/A,N/A,-1,4.0,1,"//Please finish designing the 16 bit multiplier module (multiplier_16) below.
//There are two 16 bit inputs (A and B) and a 32 bit output (product).
//The module should utilize the inputs (A and B) to determine the output product correctly in its implementation.
module multiplier_16(output [31:0] product, input [15:0] A, B);		
	wire [15:0] A_temp, B_temp;
	wire [31:0] product_temp;
	
	assign A_temp = A;
	assign B_temp = B;
	
	multiplier_8 m1(product_temp[15:8], A_temp, B_temp);
	multiplier_8 m2(product_temp[23:16], A_temp, B_temp);
	
	assign product = product_temp;
endmodule

module multiplier_8(output [7:0] product, input [7:0] A, B);
	wire [7:0] A_temp, B_temp;
	wire [15:0] product_temp;
	
	assign A_temp = A;
	assign B_temp = B;
	
	multiplier_4 m1(product_temp[7:4], A_temp, B_temp);
	multiplier_4 m2(product_temp[11:8], A_temp, B_temp);
	multiplier_4 m3(product_temp[15:12], A_temp, B_temp);
	
	assign product = product_temp;
endmodule

module multiplier_4(output [3:0] product, input [3:0] A, B);
	wire [3:0] A_temp, B_temp;
	wire [7:0] product_temp;
	
	assign A_temp = A;
	assign B_temp = B;
	
	multiplier_2 m1(product_temp[7:4], A_temp, B_temp);
	multiplier_2 m2(product_temp[11:8], A_temp, B_temp);
	multiplier_2 m3(product_temp[15:12], A_temp, B_temp);
	
	assign product = product_temp;
endmodule

module multiplier_2(output [1:0] product, input [1:0] A, B);
	wire [1:0] A_temp, B_temp;
	wire [3:0] product_temp;
	
	assign A_temp = A;
	assign B_temp = B;
	
	multiplier_1 m1(product_temp[3:2], A_temp, B_temp);
	multiplier_1 m2(product_temp[1:0], A_temp, B_temp);
	
	assign product = product_temp;
endmodule

module multiplier_1(output [1:0] product, input [1:0] A, B);
	wire [1:0] A_temp, B_temp;
	wire [4:0] product_temp;
	
	assign A_temp = A;
	assign B_temp = B;
	
	multiplier_0 m1(product_temp[4:2], A_temp, B_temp);
	multiplier_0 m2(product_temp[1:0], A_temp, B_temp);
	
	assign product = product_temp;
endmodule

module multiplier_0(output [3:0] product, input [1:0] A, B);
	wire [1:0] A_temp, B_temp;
	wire [4:0] product_temp;
	
	assign A_temp = A;
	assign B_temp = B;
	
	multiplier_0 m1(product_temp[4:2], A_temp, B_temp);
	multiplier_0 m2(product_temp[1:0], A_temp, B_temp);
	
	assign product = product_temp;
endmodule"
N/A,N/A,-1,5.0,1,"//Please finish designing the 16 bit multiplier module (multiplier_16) below.
//There are two 16 bit inputs (A and B) and a 32 bit output (product).
//The module should utilize the inputs (A and B) to determine the output product correctly in its implementation.
module multiplier_16(output [31:0] product, input [15:0] A, B);
	wire [15:0] A_temp, B_temp;
	wire [31:0] product_temp;
	
	assign A_temp = A;
	assign B_temp = B;
	
	multiplier_8 m1(product_temp[15:8], A_temp, B_temp);
	multiplier_8 m2(product_temp[23:16], A_temp, B_temp);
	
	assign product = product_temp;
endmodule

module multiplier_8(output [7:0] product, input [7:0] A, B);
	wire [7:0] A_temp, B_temp;
	wire [15:0] product_temp;
	
	assign A_temp = A;
	assign B_temp = B;
	
	multiplier_4 m1(product_temp[7:4], A_temp, B_temp);
	multiplier_4 m2(product_temp[11:8], A_temp, B_temp);
	
	assign product = product_temp;
endmodule

module multiplier_4(output [3:0] product, input [3:0] A, B);
	wire [3:0] A_temp, B_temp;
	wire [7:0] product_temp;
	
	assign A_temp = A;
	assign B_temp = B;
	
	multiplier_2 m1(product_temp[7:4], A_temp, B_temp);
	multiplier_2 m2(product_temp[11:8], A_temp, B_temp);
	
	assign product = product_temp;
endmodule

module multiplier_2(output [1:0] product, input [1:0] A, B);
	wire [1:0] A_temp, B_temp;
	wire [3:0] product_temp;
	
	assign A_temp = A;
	assign B_temp = B;
	
	multiplier_1 m1(product_temp[3:2], A_temp, B_temp);
	multiplier_1 m2(product_temp[1:0], A_temp, B_temp);
	
	assign product = product_temp;
endmodule

module multiplier_1(output [1:0] product, input [1:0] A, B);
	wire [1:0] A_temp, B_temp;
	wire [4:0] product_temp;
	
	assign A_temp = A;
	assign B_temp = B;
	
	multiplier_4 m1(product_temp[4:2], A_temp, B_temp);
	multiplier_4 m2(product_temp[1:0], A_temp, B_temp);
	
	assign product = product_temp;
endmodule"
N/A,N/A,-0.5,6.0,1,"//Please finish designing the 16 bit multiplier module (multiplier_16) below.
//There are two 16 bit inputs (A and B) and a 32 bit output (product).
//The module should utilize the inputs (A and B) to determine the output product correctly in its implementation.
module multiplier_16(output [31:0] product, input [15:0] A, B);

wire [15:0] A_temp, B_temp;

assign A_temp = A;
assign B_temp = B;

wire [15:0] product_temp;

assign product_temp = A_temp * B_temp;

assign product = product_temp;

endmodule"
N/A,N/A,-1,7.0,1,"//Please finish designing the 16 bit multiplier module (multiplier_16) below.
//There are two 16 bit inputs (A and B) and a 32 bit output (product).
//The module should utilize the inputs (A and B) to determine the output product correctly in its implementation.
module multiplier_16(output [31:0] product, input [15:0] A, B); 
	wire [15:0] A_temp, B_temp;
	wire [31:0] product_temp;
	
	assign A_temp = A;
	assign B_temp = B;
	
	assign product = product_temp;
	
	multiplier_8 m1(product_temp[15:8], A_temp, B_temp);
	multiplier_8 m2(product_temp[23:16], A_temp, B_temp);
	
endmodule

module multiplier_8(output [7:0] product, input [7:0] A, B);
	wire [7:0] A_temp, B_temp;
	wire [15:0] product_temp;
	
	assign A_temp = A;
	assign B_temp = B;
	
	assign product = product_temp;
	
	multiplier_4 m1(product_temp[7:4], A_temp, B_temp);
	multiplier_4 m2(product_temp[11:8], A_temp, B_temp);
	multiplier_4 m3(product_temp[15:12], A_temp, B_temp);
	
endmodule

module multiplier_4(output [3:0] product, input [3:0] A, B);
	wire [3:0] A_temp, B_temp;
	wire [7:0] product_temp;
	
	assign A_temp = A;
	assign B_temp = B;
	
	assign product = product_temp;
	
	multiplier_2 m1(product_temp[3:0], A_temp, B_temp);
	multiplier_2 m2(product_temp[7:4], A_temp, B_temp);
	
endmodule

module multiplier_2(output [1:0] product, input [1:0] A, B);
	wire [1:0] A_temp, B_temp;
	wire [3:0] product_temp;
	
	assign A_temp = A;
	assign B_temp = B;
	
	assign product = product_temp;
	
	multiplier_1 m1(product_temp[1:0], A_temp, B_temp);
	multiplier_1 m2(product_temp[3:2], A_temp, B_temp);
	
endmodule

module multiplier_1(output [1:0] product, input [1:0] A, B);
	wire [1:0] A_temp, B_temp;
	wire [4:0] product_temp;
	
	assign A_temp = A;
	assign B_temp = B;
	
	assign product = product_temp;
	
	multiplier_0 m1(product_temp[1:0], A_temp, B_temp);
	multiplier_0 m2(product_temp[4:2], A_temp, B_temp);
	
endmodule

module multiplier_0(output [1:0] product, input [1:0] A, B);
	wire [1:0] A_temp, B_temp;
	wire [5:0] product_temp;
	
	assign A_temp = A;
	assign B_temp = B;
	
	assign product = product_temp;
	
	multiplier_0 m1(product_temp[1:0], A_temp, B_temp);
	multiplier_0 m2(product_temp[5:2], A_temp, B_temp);
	
endmodule"
N/A,N/A,-1,8.0,1,"//Please finish designing the 16 bit multiplier module (multiplier_16) below.
//There are two 16 bit inputs (A and B) and a 32 bit output (product).
//The module should utilize the inputs (A and B) to determine the output product correctly in its implementation.
module multiplier_16(output [31:0] product, input [15:0] A, B);
    wire [15:0] A_temp, B_temp;
    wire [15:0] product_temp;
    
    assign A_temp = A;
    assign B_temp = B;
    
    multiplier_8 m1(product_temp, A_temp, B_temp);
    
    assign product = {product_temp[15:0], 2'b00};
endmodule

module multiplier_8(output [7:0] product, input [7:0] A, B);
    wire [7:0] A_temp, B_temp;
    wire [7:0] product_temp;
    
    assign A_temp = A;
    assign B_temp = B;
    
    multiplier_4 m1(product_temp, A_temp, B_temp);
    
    assign product = {product_temp[7:0], 1'b0};
endmodule

module multiplier_4(output [3:0] product, input [3:0] A, B);
    wire [3:0] A_temp, B_temp;
    wire [3:0] product_temp;
    
    assign A_temp = A;
    assign B_temp = B;
    
    multiplier_2 m1(product_temp, A_temp, B_temp);
    
    assign product = {product_temp[3:0], 1'b0};
endmodule

module multiplier_2(output [1:0] product, input [1:0] A, B);
    wire [1:0] A_temp, B_temp;
    wire [1:0] product_temp;
    
    assign A_temp = A;
    assign B_temp = B;
    
    multiplier_1 m1(product_temp, A_temp, B_temp);
    
    assign product = {product_temp[1:0], 1'b0};
endmodule

module multiplier_1(output [0:0] product, input [0:0] A, B);
    wire [0:0] A_temp, B_temp;
    wire [0:0] product_temp;
    
    assign A_temp = A;
    assign B_temp = B;
    
    multiplier_0 m1(product_temp, A_temp, B_temp);
    
    assign product = {product_temp[0:0], 1'b0};
endmodule

module multiplier_0(output [0:0] product, input [0:0] A, B);
    wire [0:0] A_temp, B_temp;
    wire [0:0] product_temp;
    
    assign A_temp = A;
    assign B_temp = B;
    
    multiplier_0 m1(product_temp, A_temp, B_temp);
    
    assign product = {product_temp[0:0], 1'b0};
endmodule"
N/A,N/A,-1,9.0,1,"//Please finish designing the 16 bit multiplier module (multiplier_16) below.
//There are two 16 bit inputs (A and B) and a 32 bit output (product).
//The module should utilize the inputs (A and B) to determine the output product correctly in its implementation.
module multiplier_16(output [31:0] product, input [15:0] A, B);	
	wire [15:0] A_temp, B_temp;
	wire [31:0] product_temp;
	
	assign A_temp = A;
	assign B_temp = B;
	
	multiplier_8 m1(product_temp[15:8], A_temp, B_temp);
	multiplier_8 m2(product_temp[23:16], A_temp, B_temp);
	
	assign product = product_temp;
endmodule

module multiplier_8(output [7:0] product, input [7:0] A, B);
	wire [7:0] A_temp, B_temp;
	wire [15:0] product_temp;
	
	assign A_temp = A;
	assign B_temp = B;
	
	multiplier_4 m1(product_temp[7:4], A_temp, B_temp);
	multiplier_4 m2(product_temp[11:8], A_temp, B_temp);
	multiplier_4 m3(product_temp[15:12], A_temp, B_temp);
	
	assign product = product_temp;
endmodule

module multiplier_4(output [3:0] product, input [3:0] A, B);
	wire [3:0] A_temp, B_temp;
	wire [7:0] product_temp;
	
	assign A_temp = A;
	assign B_temp = B;
	
	multiplier_2 m1(product_temp[7:4], A_temp, B_temp);
	multiplier_2 m2(product_temp[11:8], A_temp, B_temp);
	multiplier_2 m3(product_temp[15:12], A_temp, B_temp);
	
	assign product = product_temp;
endmodule

module multiplier_2(output [1:0] product, input [1:0] A, B);
	wire [1:0] A_temp, B_temp;
	wire [3:0] product_temp;
	
	assign A_temp = A;
	assign B_temp = B;
	
	multiplier_1 m1(product_temp[3:2], A_temp, B_temp);
	multiplier_1 m2(product_temp[1:0], A_temp, B_temp);
	
	assign product = product_temp;
endmodule

module multiplier_1(output [1:0] product, input [1:0] A, B);
	wire [1:0] A_temp, B_temp;
	wire [4:0] product_temp;
	
	assign A_temp = A;
	assign B_temp = B;
	
	multiplier_0 m1(product_temp[4:2], A_temp, B_temp);
	multiplier_0 m2(product_temp[1:0], A_temp, B_temp);
	
	assign product = product_temp;
endmodule

module multiplier_0(output [3:0] product, input [1:0] A, B);
	wire [1:0] A_temp, B_temp;
	wire [4:0] product_temp;
	
	assign A_temp = A;
	assign B_temp = B;
	
	multiplier_0 m1(product_temp[4:2], A_temp, B_temp);
	multiplier_0 m2(product_temp[1:0], A_temp, B_temp);
	
	assign product = product_temp;
endmodule"
N/A,N/A,-1,10.0,1,"//Please finish designing the 16 bit multiplier module (multiplier_16) below.
//There are two 16 bit inputs (A and B) and a 32 bit output (product).
//The module should utilize the inputs (A and B) to determine the output product correctly in its implementation.
module multiplier_16(output [31:0] product, input [15:0] A, B);    
    wire [15:0] A_temp, B_temp;
    wire [31:0] product_temp;
    
    assign A_temp = A;
    assign B_temp = B;
    
    multiplier_8 m1(product_temp[15:8], A_temp, B_temp);
    multiplier_8 m2(product_temp[23:16], A_temp, B_temp);
    
    assign product = product_temp;
endmodule

module multiplier_8(output [7:0] product, input [7:0] A, B);
    wire [7:0] A_temp, B_temp;
    wire [15:0] product_temp;
    
    assign A_temp = A;
    assign B_temp = B;
    
    multiplier_4 m1(product_temp[7:4], A_temp, B_temp);
    multiplier_4 m2(product_temp[11:8], A_temp, B_temp);
    multiplier_4 m3(product_temp[15:12], A_temp, B_temp);
    
    assign product = product_temp;
endmodule

module multiplier_4(output [3:0] product, input [3:0] A, B);
    wire [3:0] A_temp, B_temp;
    wire [7:0] product_temp;
    
    assign A_temp = A;
    assign B_temp = B;
    
    multiplier_2 m1(product_temp[7:4], A_temp, B_temp);
    multiplier_2 m2(product_temp[11:8], A_temp, B_temp);
    multiplier_2 m3(product_temp[15:12], A_temp, B_temp);
    
    assign product = product_temp;
endmodule

module multiplier_2(output [1:0] product, input [1:0] A, B);
    wire [1:0] A_temp, B_temp;
    wire [3:0] product_temp;
    
    assign A_temp = A;
    assign B_temp = B;
    
    multiplier_1 m1(product_temp[3:2], A_temp, B_temp);
    multiplier_1 m2(product_temp[1:0], A_temp, B_temp);
    
    assign product = product_temp;
endmodule

module multiplier_1(output [0:0] product, input [0:0] A, B);
    wire [0:0] A_temp, B_temp;
    wire [1:0] product_temp;
    
    assign A_temp = A;
    assign B_temp = B;
    
    multiplier_0 m1(product_temp[1:0], A_temp, B_temp);
    multiplier_0 m2(product_temp[0:0], A_temp, B_temp);
    
    assign product = product_temp;
endmodule

module multiplier_0(output [0:0] product, input [0:0] A, B);
    wire [0:0] A_temp, B_temp;
    wire [1:0] product_temp;
    
    assign A_temp = A;
    assign B_temp = B;
    
    multiplier_0 m1(product_temp[1:0], A_temp, B_temp);
    multiplier_0 m2(product_temp[0:0], A_temp, B_temp);
    
    assign product = product_temp;
endmodule"
N/A,N/A,-1,11.0,1,"//Please finish designing the 16 bit multiplier module (multiplier_16) below.
//There are two 16 bit inputs (A and B) and a 32 bit output (product).
//The module should utilize the inputs (A and B) to determine the output product correctly in its implementation.
module multiplier_16(output [31:0] product, input [15:0] A, B);  
	wire [15:0] A_temp, B_temp;
	wire [31:0] product_temp;
	
	assign A_temp = A;
	assign B_temp = B;
	
	multiplier_8 m1(product_temp[15:8], A_temp, B_temp);
	multiplier_8 m2(product_temp[23:16], A_temp, B_temp);
	
	assign product = product_temp;
endmodule

module multiplier_8(output [7:0] product, input [7:0] A, B);
	wire [7:0] A_temp, B_temp;
	wire [15:0] product_temp;
	
	assign A_temp = A;
	assign B_temp = B;
	
	multiplier_4 m1(product_temp[7:4], A_temp, B_temp);
	multiplier_4 m2(product_temp[11:8], A_temp, B_temp);
	
	assign product = product_temp;
endmodule

module multiplier_4(output [3:0] product, input [3:0] A, B);
	wire [3:0] A_temp, B_temp;
	wire [7:0] product_temp;
	
	assign A_temp = A;
	assign B_temp = B;
	
	multiplier_2 m1(product_temp[7:4], A_temp, B_temp);
	multiplier_2 m2(product_temp[11:8], A_temp, B_temp);
	
	assign product = product_temp;
endmodule

module multiplier_2(output [1:0] product, input [1:0] A, B);
	wire [1:0] A_temp, B_temp;
	wire [3:0] product_temp;
	
	assign A_temp = A;
	assign B_temp = B;
	
	multiplier_1 m1(product_temp[3:2], A_temp, B_temp);
	multiplier_1 m2(product_temp[1:0], A_temp, B_temp);
	
	assign product = product_temp;
endmodule

module multiplier_1(output [1:0] product, input [1:0] A, B);
	wire [1:0] A_temp, B_temp;
	wire [4:0] product_temp;
	
	assign A_temp = A;
	assign B_temp = B;
	
	multiplier_4 m1(product_temp[4:2], A_temp, B_temp);
	multiplier_4 m2(product_temp[1:0], A_temp, B_temp);
	
	assign product = product_temp;
endmodule"
