Area,Delay,Score,Current Run,Episode,Verilog
N/A,N/A,-0.1,2.0,1,"//Design a Verilog module for a MAC (Multiplier and Accumulator) unit.
//The MAC unit takes two inputs, A and B, and multiplies them.
//The result of the multiplication is accumulated with a third register, C.
//The accumulated result is stored in an output register, accumulator.
//The module should have a control input, clk (clock), to synchronize the operations.
//The module should have a control input, reset (reset), to reset the accumulated result.
module mac_16(
    input wire clk,
    input wire reset,
    input wire [15:0] A,
    input wire [15:0] B,
    output reg [31:0] accumulator
);
    reg [31:0] accumulator_temp;
    always @(posedge clk)
    begin
        if (reset)
            accumulator_temp <= 0;
        else
            accumulator_temp <= accumulator_temp + A * B;
        accumulator <= accumulator_temp;
    end
endmodule"
N/A,N/A,-0.1,3.0,1,"//Design a Verilog module for a MAC (Multiplier and Accumulator) unit.
//The MAC unit takes two inputs, A and B, and multiplies them.
//The result of the multiplication is accumulated with a third register, C.
//The accumulated result is stored in an output register, accumulator.
//The module should have a control input, clk (clock), to synchronize the operations.
//The module should have a control input, reset (reset), to reset the accumulated result.
module mac_16(
    input wire clk,
    input wire reset,
    input wire [15:0] A,
    input wire [15:0] B,
    output reg [31:0] accumulator
);

reg [31:0] accumulator_temp;

always @(posedge clk)
begin
    if (reset)
        accumulator_temp <= 0;
    else
        accumulator_temp <= accumulator_temp + {accumulator_temp[30:0], A} + {B, 1'b0};
    accumulator <= accumulator_temp[31:0];
end

endmodule"
N/A,N/A,-0.1,4.0,1,"//Design a Verilog module for a MAC (Multiplier and Accumulator) unit.
//The MAC unit takes two inputs, A and B, and multiplies them.
//The result of the multiplication is accumulated with a third register, C.
//The accumulated result is stored in an output register, accumulator.
//The module should have a control input, clk (clock), to synchronize the operations.
//The module should have a control input, reset (reset), to reset the accumulated result.
module mac_16(
    input wire clk,
    input wire reset,
    input wire [15:0] A,
    input wire [15:0] B,
    output reg [31:0] accumulator
);
  reg [31:0] accumulator_temp;
  always @(posedge clk)
  begin
    if (reset)
      accumulator_temp <= 0;
    else
      accumulator_temp <= accumulator_temp + {accumulator_temp[30:0], A} + {B, 1'b0};
    accumulator <= accumulator_temp;
  end
endmodule"
N/A,N/A,-0.1,5.0,1,"//Design a Verilog module for a MAC (Multiplier and Accumulator) unit.
//The MAC unit takes two inputs, A and B, and multiplies them.
//The result of the multiplication is accumulated with a third register, C.
//The accumulated result is stored in an output register, accumulator.
//The module should have a control input, clk (clock), to synchronize the operations.
//The module should have a control input, reset (reset), to reset the accumulated result.
module mac_16(
    input wire clk,
    input wire reset,
    input wire [15:0] A,
    input wire [15:0] B,
    output reg [31:0] accumulator
);
    reg [31:0] accumulator_temp;
    always @(posedge clk)
    begin
        if (reset)
            accumulator_temp <= 0;
        else
            accumulator_temp <= accumulator_temp + A * B;
        accumulator <= accumulator_temp;
    end
endmodule"
N/A,N/A,-0.1,6.0,1,"//Design a Verilog module for a MAC (Multiplier and Accumulator) unit.
//The MAC unit takes two inputs, A and B, and multiplies them.
//The result of the multiplication is accumulated with a third register, C.
//The accumulated result is stored in an output register, accumulator.
//The module should have a control input, clk (clock), to synchronize the operations.
//The module should have a control input, reset (reset), to reset the accumulated result.
module mac_16(
    input wire clk,
    input wire reset,
    input wire [15:0] A,
    input wire [15:0] B,
    output reg [31:0] accumulator
);

reg [31:0] accumulator_temp;

always @(posedge clk)
begin
    if (reset)
        accumulator_temp <= 0;
    else
        accumulator_temp <= accumulator_temp + {accumulator_temp[30:0], A} + {B, 1'b0};
    accumulator <= accumulator_temp[31:0];
end

endmodule"
N/A,N/A,-0.1,7.0,1,"//Design a Verilog module for a MAC (Multiplier and Accumulator) unit.
//The MAC unit takes two inputs, A and B, and multiplies them.
//The result of the multiplication is accumulated with a third register, C.
//The accumulated result is stored in an output register, accumulator.
//The module should have a control input, clk (clock), to synchronize the operations.
//The module should have a control input, reset (reset), to reset the accumulated result.
module mac_16(
    input wire clk,
    input wire reset,
    input wire [15:0] A,
    input wire [15:0] B,
    output reg [31:0] accumulator
);
    always @(posedge clk) begin
        if (reset) accumulator <= 0;
        else accumulator <= accumulator + A * B;
    end
endmodule"
N/A,N/A,-0.1,8.0,1,"//Design a Verilog module for a MAC (Multiplier and Accumulator) unit.
//The MAC unit takes two inputs, A and B, and multiplies them.
//The result of the multiplication is accumulated with a third register, C.
//The accumulated result is stored in an output register, accumulator.
//The module should have a control input, clk (clock), to synchronize the operations.
//The module should have a control input, reset (reset), to reset the accumulated result.
module mac_16(
    input wire clk,
    input wire reset,
    input wire [15:0] A,
    input wire [15:0] B,
    output reg [31:0] accumulator
);

reg [31:0] accumulator_temp;

always @(posedge clk)
begin
    if (reset)
        accumulator_temp <= 0;
    else
        accumulator_temp <= accumulator_temp + {accumulator_temp[30:0], A} + {B, 1'b0};
    accumulator <= accumulator_temp[31:0];
end

endmodule"
N/A,N/A,-0.1,9.0,1,"//Design a Verilog module for a MAC (Multiplier and Accumulator) unit.
//The MAC unit takes two inputs, A and B, and multiplies them.
//The result of the multiplication is accumulated with a third register, C.
//The accumulated result is stored in an output register, accumulator.
//The module should have a control input, clk (clock), to synchronize the operations.
//The module should have a control input, reset (reset), to reset the accumulated result.
module mac_16(
    input wire clk,
    input wire reset,
    input wire [15:0] A,
    input wire [15:0] B,
    output reg [31:0] accumulator
);
  reg [31:0] accumulator_temp;
  always @(posedge clk)
  begin
    if (reset)
      accumulator_temp <= 0;
    else
      accumulator_temp <= accumulator_temp + {accumulator_temp[30:0], A} + {B, 1'b0};
    accumulator <= accumulator_temp;
  end
endmodule"
N/A,N/A,-0.1,10.0,1,"//Design a Verilog module for a MAC (Multiplier and Accumulator) unit.
//The MAC unit takes two inputs, A and B, and multiplies them.
//The result of the multiplication is accumulated with a third register, C.
//The accumulated result is stored in an output register, accumulator.
//The module should have a control input, clk (clock), to synchronize the operations.
//The module should have a control input, reset (reset), to reset the accumulated result.
module mac_16(
    input wire clk,
    input wire reset,
    input wire [15:0] A,
    input wire [15:0] B,
    output reg [31:0] accumulator
);
    reg [31:0] accumulator_temp;
    always @(posedge clk)
    begin
        if (reset)
            accumulator_temp <= 0;
        else
            accumulator_temp <= accumulator_temp + A * B;
        accumulator <= accumulator_temp;
    end
endmodule"
N/A,N/A,-0.1,11.0,1,"//Design a Verilog module for a MAC (Multiplier and Accumulator) unit.
//The MAC unit takes two inputs, A and B, and multiplies them.
//The result of the multiplication is accumulated with a third register, C.
//The accumulated result is stored in an output register, accumulator.
//The module should have a control input, clk (clock), to synchronize the operations.
//The module should have a control input, reset (reset), to reset the accumulated result.
module mac_16(
    input wire clk,
    input wire reset,
    input wire [15:0] A,
    input wire [15:0] B,
    output reg [31:0] accumulator
);
reg [31:0] accumulator_temp;
always @(posedge clk)
    if(reset)
        accumulator_temp <= 0;
    else
        accumulator_temp <= accumulator_temp + {accumulator_temp[30:0], 1'b0} + A * B;
always @(posedge clk)
    if(reset)
        accumulator <= 0;
    else
        accumulator <= accumulator_temp[31:0];
endmodule"
N/A,N/A,-1,12.0,1,"//Design a Verilog module for a MAC (Multiplier and Accumulator) unit.
//The MAC unit takes two inputs, A and B, and multiplies them.
//The result of the multiplication is accumulated with a third register, C.
//The accumulated result is stored in an output register, accumulator.
//The module should have a control input, clk (clock), to synchronize the operations.
//The module should have a control input, reset (reset), to reset the accumulated result.
module mac_16(
    input wire clk,
    input wire reset,
    input wire [15:0] A,
    input wire [15:0] B,
    output reg [31:0] accumulator
);

wire [31:0] product;

multiplier_16 multiplier(
   .clk(clk),
   .reset(reset),
   .A(A),
   .B(B),
   .product(product)
);

accumulator_16 accumulator(
   .clk(clk),
   .reset(reset),
   .product(product),
   .accumulator(accumulator)
);

endmodule
`timescale 1ns / 1ps

module test_mac_16;

reg clk;
reg reset;
reg [15:0] A;
reg [15:0] B;
wire [31:0] accumulator;

mac_16 mac(
   .clk(clk),
   .reset(reset),
   .A(A),
   .B(B),
   .accumulator(accumulator)
);

initial begin
    clk = 0;
    reset = 0;
    A = 0;
    B = 0;
    #10;
    reset = 1;
    #10;
    reset = 0;
    A = 16'hFFFF;
    B = 16'hFFFF;
    #10;
    reset = 1;
    #10;
    reset = 0;
    A = 16'hFFFF;
    B = 16'hFFFF;
    #10;
    reset = 1;
    #10;
    reset = 0;
    A = 16'hFFFF;
    B = 16'hFFFF;
    #10;
    reset = 1;
    #10;
    reset = 0;
    A = 16'hFFFF;
    B = 16'hFFFF;
    #10;
    reset = 1;
    #10;
    reset = 0;
    A = 16'hFFFF;
    B = 16'hFFFF;
    #10;
    reset = 1;
    #10;
    reset = 0;
    A = 16'hFFFF;
    B = 16'hFFFF;
    #10;
    reset = 1;
    #10;
    reset"
