Area,Delay,Score,Current Run,Episode,Verilog
N/A,N/A,-0.1,2.0,1,"//Design a Verilog module for a MAC (Multiplier and Accumulator) unit.
//The MAC unit takes two inputs, A and B, and multiplies them.
//The result of the multiplication is accumulated with a third register, C.
//The accumulated result is stored in an output register, accumulator.
//The module should have a control input, clk (clock), to synchronize the operations.
//The module should have a control input, reset (reset), to reset the accumulated result.
module mac_8(
    input wire clk,
    input wire reset,
    input wire [7:0] A,
    input wire [7:0] B,
    output reg [15:0] accumulator
);
    reg [7:0] C;
    always @(posedge clk) begin
        if (reset) begin
            accumulator <= 0;
            C <= 0;
        end
        else begin
            accumulator <= accumulator + C;
            C <= A * B;
        end
    end
endmodule"
N/A,N/A,-0.1,3.0,1,"//Design a Verilog module for a MAC (Multiplier and Accumulator) unit.
//The MAC unit takes two inputs, A and B, and multiplies them.
//The result of the multiplication is accumulated with a third register, C.
//The accumulated result is stored in an output register, accumulator.
//The module should have a control input, clk (clock), to synchronize the operations.
//The module should have a control input, reset (reset), to reset the accumulated result.
module mac_8(
    input wire clk,
    input wire reset,
    input wire [7:0] A,
    input wire [7:0] B,
    output reg [15:0] accumulator
);

reg [7:0] accumulator_temp;

always @(posedge clk)
    if (reset)
        accumulator_temp <= 0;
    else
        accumulator_temp <= accumulator_temp + A * B;

always @(posedge clk)
    if (reset)
        accumulator <= 0;
    else
        accumulator <= accumulator_temp;

endmodule"
N/A,N/A,-1,4.0,1,"//Design a Verilog module for a MAC (Multiplier and Accumulator) unit.
//The MAC unit takes two inputs, A and B, and multiplies them.
//The result of the multiplication is accumulated with a third register, C.
//The accumulated result is stored in an output register, accumulator.
//The module should have a control input, clk (clock), to synchronize the operations.
//The module should have a control input, reset (reset), to reset the accumulated result.
module mac_8(
    input wire clk,
    input wire reset,
    input wire [7:0] A,
    input wire [7:0] B,
    output reg [15:0] accumulator
);
  reg [7:0] B_reg;
  reg [7:0] A_reg;
  reg [7:0] C_reg;
  reg [7:0] temp;
  always @(posedge clk)
  begin
    if (reset)
    begin
      accumulator <= 0;
      B_reg <= 0;
      A_reg <= 0;
      C_reg <= 0;
    end
    else
    begin
      B_reg <= B;
      A_reg <= A;
      C_reg <= C;
      temp <= A_reg * B_reg;
      accumulator <= C_reg + temp;
    end
  end
endmodule"
N/A,N/A,-0.1,5.0,1,"//Design a Verilog module for a MAC (Multiplier and Accumulator) unit.
//The MAC unit takes two inputs, A and B, and multiplies them.
//The result of the multiplication is accumulated with a third register, C.
//The accumulated result is stored in an output register, accumulator.
//The module should have a control input, clk (clock), to synchronize the operations.
//The module should have a control input, reset (reset), to reset the accumulated result.
module mac_8(
    input wire clk,
    input wire reset,
    input wire [7:0] A,
    input wire [7:0] B,
    output reg [15:0] accumulator
);
    reg [7:0] C;
    always @(posedge clk) begin
        if (reset) begin
            accumulator <= 0;
            C <= 0;
        end
        else begin
            accumulator <= accumulator + C;
            C <= A * B;
        end
    end
endmodule"
N/A,N/A,-0.1,6.0,1,"//Design a Verilog module for a MAC (Multiplier and Accumulator) unit.
//The MAC unit takes two inputs, A and B, and multiplies them.
//The result of the multiplication is accumulated with a third register, C.
//The accumulated result is stored in an output register, accumulator.
//The module should have a control input, clk (clock), to synchronize the operations.
//The module should have a control input, reset (reset), to reset the accumulated result.
module mac_8(
    input wire clk,
    input wire reset,
    input wire [7:0] A,
    input wire [7:0] B,
    output reg [15:0] accumulator
);

reg [7:0] accumulator_temp;

always @(posedge clk)
    if (reset)
        accumulator_temp <= 0;
    else
        accumulator_temp <= accumulator_temp + A * B;

always @(posedge clk)
    if (reset)
        accumulator <= 0;
    else
        accumulator <= accumulator_temp;

endmodule"
N/A,N/A,-0.1,7.0,1,"//Design a Verilog module for a MAC (Multiplier and Accumulator) unit.
//The MAC unit takes two inputs, A and B, and multiplies them.
//The result of the multiplication is accumulated with a third register, C.
//The accumulated result is stored in an output register, accumulator.
//The module should have a control input, clk (clock), to synchronize the operations.
//The module should have a control input, reset (reset), to reset the accumulated result.
module mac_8(
    input wire clk,
    input wire reset,
    input wire [7:0] A,
    input wire [7:0] B,
    output reg [15:0] accumulator
);
    always @(posedge clk) begin
        if (reset) accumulator <= 0;
        else accumulator <= accumulator + A * B;
    end
endmodule"
N/A,N/A,-0.1,8.0,1,"//Design a Verilog module for a MAC (Multiplier and Accumulator) unit.
//The MAC unit takes two inputs, A and B, and multiplies them.
//The result of the multiplication is accumulated with a third register, C.
//The accumulated result is stored in an output register, accumulator.
//The module should have a control input, clk (clock), to synchronize the operations.
//The module should have a control input, reset (reset), to reset the accumulated result.
module mac_8(
    input wire clk,
    input wire reset,
    input wire [7:0] A,
    input wire [7:0] B,
    output reg [15:0] accumulator
);

reg [7:0] accumulator_temp;

always @(posedge clk)
    if (reset)
        accumulator_temp <= 0;
    else
        accumulator_temp <= accumulator_temp + A * B;

always @(posedge clk)
    if (reset)
        accumulator <= 0;
    else
        accumulator <= accumulator_temp;

endmodule"
N/A,N/A,-0.1,9.0,1,"//Design a Verilog module for a MAC (Multiplier and Accumulator) unit.
//The MAC unit takes two inputs, A and B, and multiplies them.
//The result of the multiplication is accumulated with a third register, C.
//The accumulated result is stored in an output register, accumulator.
//The module should have a control input, clk (clock), to synchronize the operations.
//The module should have a control input, reset (reset), to reset the accumulated result.
module mac_8(
    input wire clk,
    input wire reset,
    input wire [7:0] A,
    input wire [7:0] B,
    output reg [15:0] accumulator
);
    reg [7:0] C;
    always @(posedge clk) begin
        if (reset) begin
            accumulator <= 0;
            C <= 0;
        end
        else begin
            accumulator <= accumulator + C;
            C <= A * B;
        end
    end
endmodule"
N/A,N/A,-0.1,10.0,1,"//Design a Verilog module for a MAC (Multiplier and Accumulator) unit.
//The MAC unit takes two inputs, A and B, and multiplies them.
//The result of the multiplication is accumulated with a third register, C.
//The accumulated result is stored in an output register, accumulator.
//The module should have a control input, clk (clock), to synchronize the operations.
//The module should have a control input, reset (reset), to reset the accumulated result.
module mac_8(
    input wire clk,
    input wire reset,
    input wire [7:0] A,
    input wire [7:0] B,
    output reg [15:0] accumulator
);
reg [7:0] B_reg;
reg [7:0] A_reg;
reg [7:0] C_reg;
always @(posedge clk)
begin
    if (reset)
    begin
        accumulator <= 0;
        B_reg <= 0;
        A_reg <= 0;
        C_reg <= 0;
    end
    else
    begin
        accumulator <= accumulator + C_reg;
        B_reg <= B;
        A_reg <= A;
        C_reg <= C_reg + B_reg;
    end
end
endmodule"
N/A,N/A,-1,11.0,1,"//Design a Verilog module for a MAC (Multiplier and Accumulator) unit.
//The MAC unit takes two inputs, A and B, and multiplies them.
//The result of the multiplication is accumulated with a third register, C.
//The accumulated result is stored in an output register, accumulator.
//The module should have a control input, clk (clock), to synchronize the operations.
//The module should have a control input, reset (reset), to reset the accumulated result.
module mac_8(
    input wire clk,
    input wire reset,
    input wire [7:0] A,
    input wire [7:0] B,
    output reg [15:0] accumulator
);

wire [7:0] product;

multiplier_8 multiplier_8_inst(
   .clk(clk),
   .reset(reset),
   .A(A),
   .B(B),
   .product(product)
);

accumulator_8 accumulator_8_inst(
   .clk(clk),
   .reset(reset),
   .product(product),
   .accumulator(accumulator)
);

endmodule
`timescale 1ns / 1ps

module test_mac_8;

reg clk;
reg reset;
reg [7:0] A;
reg [7:0] B;
wire [15:0] accumulator;

mac_8 mac_8_inst(
   .clk(clk),
   .reset(reset),
   .A(A),
   .B(B),
   .accumulator(accumulator)
);

initial begin
    clk = 0;
    reset = 0;
    A = 0;
    B = 0;
    #10;
    reset = 1;
    #10;
    reset = 0;
    A = 8'b10101010;
    B = 8'b01010101;
    #10;
    reset = 1;
    #10;
    reset = 0;
    A = 8'b10101010;
    B = 8'b01010101;
    #10;
    reset = 1;
    #10;
    reset = 0;
    A = 8'b10101010;
    B = 8'b01010101;
    #10;
    reset = 1;
    #10;
    reset = 0;
    A = 8'b10101010;
    B = 8'b01010101;
    #10;
    reset = 1;
    #10;
    reset = 0;
    A = 8'b10101010;
    B = 8'b01010101;
    #10;
    reset = 1;
    #10;
    reset = 0;
    A = 8'b10101010;
    B = 8'b01010101;
    #10;
    reset = 1;
    #10;
    reset = 0;
    A = 8'b10101010;
    B = 8'b01010101;
    #10;
    reset = 1;
    #10;
    reset = 0;
    A = 8'b10101010;
    B = 8'b01010101;
    #10;
    reset = 1;
    #10;
    reset = 0;
    A = 8'b10101010;
    B = 8'b01010101;
    #10;
    reset = 1;
    #10;
    reset = 0;
    A = 8'b10101010;
    B = 8'b01010101;
    #10;
    reset = 1;
    #10;
    reset = 0;
    A = 8'b10101010;
    B = 8'b01010101;
    #10;
    reset = 1;
    #10;
    reset = 0;
    A = 8'b10101010;
    B = 8'b01010101;
    #10;
    reset = 1;
    #10;
    reset = 0;
    A = 8'b10101010;
    B = 8'b01010101;
    #10;
    reset = 1;
    #10;
    reset = 0;
    A = 8'b10101010;
    B = 8'b01010101;
    #10;
    reset = 1;
    #10;
    reset = 0;
    A = 8'b10101010;
    B = 8'b01010101;
    #10;
    reset = 1;
    #10;
    reset = 0;
    A = 8'b10101010;
    B = 8'b01010101;
    #10;
    reset = 1;
    #10;
    reset = 0;
    A = 8"
