Area,Delay,Score,Current Run,Episode,Verilog
668.458000,725.21,0.0014959803009313975,2.0,1,"module arithmetic(output [7:0] y, input [7:0] x1, x2, x3);

wire [7:0] x1_w, x2_w, x3_w;

assign x1_w = x1;
assign x2_w = x2;
assign x3_w = x3;

wire [7:0] y_w;

assign y_w = x1_w * x2_w + x3_w * x2_w;

assign y = y_w;

endmodule"
668.458000,725.21,0.0014959803009313975,3.0,1,"module arithmetic(output [7:0] y, input [7:0] x1, x2, x3);

wire [7:0] x1_w, x2_w, x3_w;

assign x1_w = x1;
assign x2_w = x2;
assign x3_w = x3;

wire [7:0] y_w;

assign y_w = x1_w * x2_w + x3_w * x2_w;

assign y = y_w;

endmodule"
N/A,N/A,-1,4.0,1,"module arithmetic(output [7:0] y, input [7:0] x1, x2, x3);

	wire [7:0] x1_w, x2_w, x3_w;
	wire [7:0] y_w;

	assign x1_w = x1;
	assign x2_w = x2;
	assign x3_w = x3;

	full_adder FA1(y_w[0], x1_w[0], x2_w[0], x3_w[0], 1'b0);
	full_adder FA2(y_w[1], x1_w[1], x2_w[1], x3_w[1], y_w[0]);
	full_adder FA3(y_w[2], x1_w[2], x2_w[2], x3_w[2], y_w[1]);
	full_adder FA4(y_w[3], x1_w[3], x2_w[3], x3_w[3], y_w[2]);
	full_adder FA5(y_w[4], x1_w[4], x2_w[4], x3_w[4], y_w[3]);
	full_adder FA6(y_w[5], x1_w[5], x2_w[5], x3_w[5], y_w[4]);
	full_adder FA7(y_w[6], x1_w[6], x2_w[6], x3_w[6], y_w[5]);
	full_adder FA8(y_w[7], x1_w[7], x2_w[7], x3_w[7], y_w[6]);
	
	assign y = y_w;

endmodule

module full_adder(output sum, carry, input a, b, c_in);

	wire w1, w2, w3;

	xor(w1, a, b);
	xor(sum, w1, c_in);
	and(w2, w1, c_in);
	and(w3, a, b);
	"
N/A,N/A,-1,5.0,1,"module arithmetic(output [7:0] y, input [7:0] x1, x2, x3);
	wire [7:0] x1_w, x2_w, x3_w;
	wire [7:0] y_w;
	
	assign x1_w = x1;
	assign x2_w = x2;
	assign x3_w = x3;
	
	fulladder_8bit fa0(y_w[0], x1_w[0], x2_w[0], x3_w[0], 1'b0);
	fulladder_8bit fa1(y_w[1], x1_w[1], x2_w[1], x3_w[1], y_w[0]);
	fulladder_8bit fa2(y_w[2], x1_w[2], x2_w[2], x3_w[2], y_w[1]);
	fulladder_8bit fa3(y_w[3], x1_w[3], x2_w[3], x3_w[3], y_w[2]);
	fulladder_8bit fa4(y_w[4], x1_w[4], x2_w[4], x3_w[4], y_w[3]);
	fulladder_8bit fa5(y_w[5], x1_w[5], x2_w[5], x3_w[5], y_w[4]);
	fulladder_8bit fa6(y_w[6], x1_w[6], x2_w[6], x3_w[6], y_w[5]);
	fulladder_8bit fa7(y_w[7], x1_w[7], x2_w[7], x3_w[7], y_w[6]);
	
	assign y = y_w;
	
endmodule

module fulladder_8bit(output [7:0] sum, input [7:0] x1, x2, x3, input cin);
	wire [7:0] sum_w;
	wire c1, c2, c3;
	
	full"
N/A,N/A,-1,6.0,1,"module arithmetic(output [7:0] y, input [7:0] x1, x2, x3);//

wire [7:0] x1_w, x2_w, x3_w;

assign x1_w = x1;
assign x2_w = x2;
assign x3_w = x3;

wire [7:0] y_w;

// Create a wire for each input and output parameter.

// Create a wire for each input and output parameter.

// Create a wire for each input and output parameter.

// Create a wire for each input and output parameter.

// Create a wire for each input and output parameter.

// Create a wire for each input and output parameter.

// Create a wire for each input and output parameter.

// Create a wire for each input and output parameter.

// Create a wire for each input and output parameter.

// Create a wire for each input and output parameter.

// Create a wire for each input and output parameter.

// Create a wire for each input and output parameter.

// Create a wire for each input and output parameter.

// Create a wire for each input and output parameter.

// Create a wire for each input and output parameter.

// Create a wire for each input and output parameter.

// Create a wire for each input and output parameter.

// Create a wire for each input and output parameter.

// Create a wire for each input and output parameter.

// Create a wire for each input and output parameter.

// Create a wire for each input and output parameter.

// Create a wire for each input and output parameter.

// Create a wire for each input and output parameter.

// Create a wire for each input and output parameter.

// Create a wire for each input and output parameter.

// Create a wire for each input and output parameter.

// Create a wire for each input and output parameter.

// Create a wire for each input and output parameter.

// Create a wire for each input and output parameter.

// Create a wire for each input and output parameter.

// Create a wire for each input and output parameter.

// Create a wire for each input and output parameter.

// Create a wire for each input and output parameter.
"
668.458000,725.21,0.0014959803009313975,7.0,1,"module arithmetic(output [7:0] y, input [7:0] x1, x2, x3);

wire [7:0] x1_w, x2_w, x3_w;

assign x1_w = x1;
assign x2_w = x2;
assign x3_w = x3;

wire [7:0] y_w;

assign y_w = x1_w * x2_w + x3_w * x2_w;

assign y = y_w;

endmodule"
N/A,N/A,-1,8.0,1,"module arithmetic(output [7:0] y, input [7:0] x1, x2, x3);

// Define the input and output ports.
// Do not change the module name.
input [7:0] x1, x2, x3;

// Define the internal variables.
// Do not change the module name.
reg [7:0] y;

// Define the internal wires.
// Do not change the module name.
wire [7:0] x1_times_x2, x3_times_x2;

// Define the internal logic.
// Do not change the module name.
always @(x1 or x2 or x3)
begin
	x1_times_x2 = x1 * x2;
	x3_times_x2 = x3 * x2;
	y = x1_times_x2 + x3_times_x2;
end

endmodule

// Define the input and output ports.
// Do not change the module name.
input [7:0] x1, x2, x3;

// Define the internal variables.
// Do not change the module name.
reg [7:0] y;

// Define the internal wires.
// Do not change the module name.
wire [7:0] x1_times_x2, x3_times_x2;

// Define the internal logic.
// Do not change the module name.
always @(x1 or x2 or x3)
begin
	x1_times_x2 = x1 * x2;
	x3_times_x2 = x3 * x2;
	y = x1_times_x2 + x3_times_x2;
end

endmodule

// Define the input and output ports.
// Do not change the module name.
input [7:0] x1, x2, x3;

// Define the internal variables.
// Do not change the module name.
reg [7:0] y;

// Define the internal wires.
// Do not change the module name.
wire [7:0] x1_times_x2, x3_times_x2;

// Define the"
,,-1,9.0,1,"module arithmetic(output [7:0] y, input [7:0] x1, x2, x3); // module definition

// module body starts after module definition

// module body ends after module definition

endmodule"
N/A,N/A,-1,10.0,1,"module arithmetic(output [7:0] y, input [7:0] x1, x2, x3);
    wire [7:0] x1_w, x2_w, x3_w;
    wire [7:0] y_w;
    
    assign x1_w = x1;
    assign x2_w = x2;
    assign x3_w = x3;
    
    full_adder FA1(y_w[0], x1_w[0], x2_w[0], x3_w[0], 1'b0);
    full_adder FA2(y_w[1], x1_w[1], x2_w[1], x3_w[1], y_w[0]);
    full_adder FA3(y_w[2], x1_w[2], x2_w[2], x3_w[2], y_w[1]);
    full_adder FA4(y_w[3], x1_w[3], x2_w[3], x3_w[3], y_w[2]);
    full_adder FA5(y_w[4], x1_w[4], x2_w[4], x3_w[4], y_w[3]);
    full_adder FA6(y_w[5], x1_w[5], x2_w[5], x3_w[5], y_w[4]);
    full_adder FA7(y_w[6], x1_w[6], x2_w[6], x3_w[6], y_w[5]);
    full_adder FA8(y_w[7], x1_w[7], x2_w[7], x3_w[7], y_w[6]);
    
    assign y = y_w;
endmodule

module full_adder(output sum, carry, input a, b, c_in);
    wire c1, c2, c3;
    
    half_adder HA1(sum, c1, a, b);
    half_adder HA2(sum, c2, c1, c_in);
    half_adder HA3(carry, c"
N/A,N/A,-1,11.0,1,"module arithmetic(output [7:0] y, input [7:0] x1, x2, x3);

	wire [7:0] x1_w, x2_w, x3_w;
	wire [7:0] y_w;

	assign x1_w = x1;
	assign x2_w = x2;
	assign x3_w = x3;

	full_adder FA1(y_w[0], x1_w[0], x2_w[0], x3_w[0], 1'b0);
	full_adder FA2(y_w[1], x1_w[1], x2_w[1], x3_w[1], y_w[0]);
	full_adder FA3(y_w[2], x1_w[2], x2_w[2], x3_w[2], y_w[1]);
	full_adder FA4(y_w[3], x1_w[3], x2_w[3], x3_w[3], y_w[2]);
	full_adder FA5(y_w[4], x1_w[4], x2_w[4], x3_w[4], y_w[3]);
	full_adder FA6(y_w[5], x1_w[5], x2_w[5], x3_w[5], y_w[4]);
	full_adder FA7(y_w[6], x1_w[6], x2_w[6], x3_w[6], y_w[5]);
	full_adder FA8(y_w[7], x1_w[7], x2_w[7], x3_w[7], y_w[6]);
	
	assign y = y_w;

endmodule

module full_adder(output sum, carry, input a, b, c_in);

	wire w1, w2, w3;

	xor(w1, a, b);
	xor(sum, w1, c_in);
	and(w2, w1, c_in);
	and(w3, a, b);
	"
668.458000,725.21,0.0014959803009313975,12.0,1,"module arithmetic(output [7:0] y, input [7:0] x1, x2, x3); 

wire [7:0] x1_w, x2_w, x3_w;

assign x1_w = x1;
assign x2_w = x2;
assign x3_w = x3;

wire [7:0] y_w;

assign y_w = x1_w * x2_w + x3_w * x2_w;

assign y = y_w;

endmodule"
668.458000,725.21,0.0014959803009313975,13.0,1,"module arithmetic(output [7:0] y, input [7:0] x1, x2, x3); 

wire [7:0] x1_w, x2_w, x3_w;

assign x1_w = x1;
assign x2_w = x2;
assign x3_w = x3;

wire [7:0] y_w;

assign y_w = x1_w * x2_w + x3_w * x2_w;

assign y = y_w;

endmodule"
,,-1,14.0,1,"module arithmetic(output [7:0] y, input [7:0] x1, x2, x3);	// module definition

// module body starts after module definition

// module body ends after module definition

endmodule"
668.458000,725.21,0.0014959803009313975,15.0,1,"module arithmetic(output [7:0] y, input [7:0] x1, x2, x3); 

wire [7:0] x1_w, x2_w, x3_w;

assign x1_w = x1;
assign x2_w = x2;
assign x3_w = x3;

wire [7:0] y_w;

assign y_w = x1_w * x2_w + x3_w * x2_w;

assign y = y_w;

endmodule"
668.458000,725.21,0.0014959803009313975,16.0,1,"module arithmetic(output [7:0] y, input [7:0] x1, x2, x3);  

wire [7:0] x1_w, x2_w, x3_w;

assign x1_w = x1;
assign x2_w = x2;
assign x3_w = x3;

wire [7:0] y_w;

assign y_w = x1_w * x2_w + x3_w * x2_w;

assign y = y_w;

endmodule"
N/A,N/A,-1,17.0,1,"module arithmetic(output [7:0] y, input [7:0] x1, x2, x3);
  wire [7:0] x1_w, x2_w, x3_w;
  wire [7:0] y_w;
  
  assign x1_w = x1;
  assign x2_w = x2;
  assign x3_w = x3;
  
  full_adder FA1(y_w[0], x1_w[0], x2_w[0], x3_w[0], 1'b0);
  full_adder FA2(y_w[1], x1_w[1], x2_w[1], x3_w[1], y_w[0]);
  full_adder FA3(y_w[2], x1_w[2], x2_w[2], x3_w[2], y_w[1]);
  full_adder FA4(y_w[3], x1_w[3], x2_w[3], x3_w[3], y_w[2]);
  full_adder FA5(y_w[4], x1_w[4], x2_w[4], x3_w[4], y_w[3]);
  full_adder FA6(y_w[5], x1_w[5], x2_w[5], x3_w[5], y_w[4]);
  full_adder FA7(y_w[6], x1_w[6], x2_w[6], x3_w[6], y_w[5]);
  full_adder FA8(y_w[7], x1_w[7], x2_w[7], x3_w[7], y_w[6]);
  
  assign y = y_w;
  
endmodule

module full_adder(output sum, carry, input a, b, c_in);
  wire w1, w2, w3;
  
  xor(w1, a, b);
  xor(sum, w1, c_in);
  and(w2, w1, c_in);
  and(w3"
N/A,N/A,-1,18.0,1,"module arithmetic(output [7:0] y, input [7:0] x1, x2, x3); 

	wire [7:0] x1_w, x2_w, x3_w;
	wire [7:0] y_w;
	
	assign x1_w = x1;
	assign x2_w = x2;
	assign x3_w = x3;
	
	full_adder FA1(y_w[0], x1_w[0], x2_w[0], x3_w[0], 1'b0);
	full_adder FA2(y_w[1], x1_w[1], x2_w[1], x3_w[1], y_w[0]);
	full_adder FA3(y_w[2], x1_w[2], x2_w[2], x3_w[2], y_w[1]);
	full_adder FA4(y_w[3], x1_w[3], x2_w[3], x3_w[3], y_w[2]);
	full_adder FA5(y_w[4], x1_w[4], x2_w[4], x3_w[4], y_w[3]);
	full_adder FA6(y_w[5], x1_w[5], x2_w[5], x3_w[5], y_w[4]);
	full_adder FA7(y_w[6], x1_w[6], x2_w[6], x3_w[6], y_w[5]);
	full_adder FA8(y_w[7], x1_w[7], x2_w[7], x3_w[7], y_w[6]);
	
	assign y = y_w;

endmodule

module full_adder(output sum, carry, input a, b, c_in);
	wire w1, w2, w3;
	
	xor(w1, a, b);
	xor(sum, w1, c_in);
	and(w2, w1, c_in);
	and(w3"
668.458000,725.21,0.0014959803009313975,19.0,1,"module arithmetic(output [7:0] y, input [7:0] x1, x2, x3);  

wire [7:0] x1_w, x2_w, x3_w;

assign x1_w = x1;
assign x2_w = x2;
assign x3_w = x3;

wire [7:0] y_w;

assign y_w = x1_w * x2_w + x3_w * x2_w;

assign y = y_w;

endmodule"
,,-1,20.0,1,"module arithmetic(output [7:0] y, input [7:0] x1, x2, x3);    // module definition

// module body starts after semicolon

// module body ends after semicolon

endmodule"
,,-1,21.0,1,"module arithmetic(output [7:0] y, input [7:0] x1, x2, x3);  // module definition

// module body starts after semicolon

// module body ends after semicolon

endmodule"
668.458000,725.21,0.0014959803009313975,22.0,1,"module arithmetic(output [7:0] y, input [7:0] x1, x2, x3);   

wire [7:0] x1_w, x2_w, x3_w;

assign x1_w = x1;
assign x2_w = x2;
assign x3_w = x3;

wire [7:0] y_w;

assign y_w = x1_w * x2_w + x3_w * x2_w;

assign y = y_w;

endmodule"
