Area,Delay,Score,Current Run,Episode,Verilog
N/A,N/A,-1,2.0,1,"module adder_32(output [31:0] sum,
                      output cout,
                      input [31:0] in1, in2,
                      input cin);
  wire [31:0] sum;
  wire cout;
  wire [31:0] in1;
  wire [31:0] in2;
  wire cin;
  wire [31:0] carry;
  one_bit_full_adder adder_1(sum[0], carry[0], in1[0], in2[0], cin);
  genvar i;
  generate
    for (i=1; i<32; i=i+1) begin: adder_loop
      one_bit_full_adder adder_2(sum[i], carry[i], in1[i], in2[i], carry[i-1]);
    end
  endgenerate
  one_bit_full_adder adder_3(cout, carry[32], in1[32], in2[32], carry[31]);
endmodule

module one_bit_full_adder(output sum,
                          output cout,
                          input in1, in2, cin);
  wire in1;
  wire in2;
  wire cin;
  wire sum;
  wire cout;
  xor(sum, in1, in2);
  and(cout, in1, in2);
endmodule"
N/A,N/A,-1,3.0,1,"module adder_32(output [31:0] sum,
                      output cout,
                      input [31:0] in1, in2,
                      input cin);

    wire [31:0] sum;
    wire cout;
    wire [31:0] in1;
    wire [31:0] in2;
    wire cin;

    if (in1 == 0 && in2 == 0 && cin == 0)
    begin
        sum = 0;
        cout = 0;
    end
    else if (in1 == 0 && in2 == 0 && cin == 1)
    begin
        sum = 1;
        cout = 0;
    end
    else if (in1 == 0 && in2 == 1 && cin == 0)
    begin
        sum = 0;
        cout = 1;
    end
    else if (in1 == 0 && in2 == 1 && cin == 1)
    begin
        sum = 1;
        cout = 1;
    end
    else if (in1 == 1 && in2 == 0 && cin == 0)
    begin
        sum = 1;
        cout = 0;
    end
    else if (in1 == 1 && in2 == 0 && cin == 1)
    begin
        sum = 1;
        cout = 1;
    end
    else if (in1 == 1 && in2 == 1 && cin == 0)
    begin
        sum = 2;
        cout = 0;
    end
    else if (in1 == 1 && in2 == 1 && cin == 1)
    begin
        sum = 2;
        cout = 1;
    end
    else
    begin
        sum = 0;
        cout = 0;
    end
endmodule"
N/A,N/A,-1,4.0,1,"module adder_32(output [31:0] sum,
                      output cout,
                      input [31:0] in1, in2,
                      input cin);    
    wire [31:0] sum;
    wire cout;
    wire [31:0] in1, in2;
    wire cin;
    
    kogge_stone_32 adder(sum, cout, in1, in2, cin);

endmodule

     
function [31:0] adder_32(input [31:0] in1, in2, input cin);
    begin
        adder_32 #(32) adder(sum, cout, in1, in2, cin);
    end
endfunction

module kogge_stone_32(output [31:0] sum,
                      output cout,
                      input [31:0] in1, in2,
                      input cin);
    wire [31:0] sum;
    wire cout;
    wire [31:0] in1, in2;
    wire cin;
    
    assign sum = in1 ^ in2;
    assign cout = (in1 & in2) | (in1 ^ in2);

endmodule"
N/A,N/A,-1,5.0,1,"module adder_32(output [31:0] sum,
                      output cout,
                      input [31:0] in1, in2,
                      input cin);
  wire [31:0] sum;
  wire cout;
  wire [31:0] in1;
  wire [31:0] in2;
  wire cin;
  wire [31:0] carry;
  Carry_Select_Adder_32 CS_Adder(sum, carry, in1, in2, cin);
  FA_32 FA_1(sum[0], c1, in1[0], in2[0], cin);
  FA_32 FA_2(sum[1], c2, in1[1], in2[1], c1);
  FA_32 FA_3(sum[2], c3, in1[2], in2[2], c2);
  FA_32 FA_4(sum[3], c4, in1[3], in2[3], c3);
  FA_32 FA_5(sum[4], c5, in1[4], in2[4], c4);
  FA_32 FA_6(sum[5], c6, in1[5], in2[5], c5);
  FA_32 FA_7(sum[6], c7, in1[6], in2[6], c6);
  FA_32 FA_8(sum[7], c8, in1[7], in2[7], c7);
  FA_32 FA_9(sum[8], c9, in1[8], in2[8], c8);
  FA_32 FA_10(sum[9], c10, in1[9], in2[9], c9);
  FA_32 FA_11(sum[10], c11, in1[10], in2[10], c10);
  FA_32 FA_12(sum[11], c12, in1[11], in2[11], c11);
  FA_32 FA_13(sum[12], c13, in1[12], in2[12], c12);
  FA_32 FA_14(sum[13], c14, in1[13], in2[13], c13);
  FA_32 FA_15(sum[14], c15, in1[14], in2[14], c14);
  FA_32 FA_16(sum[15], c16, in1[15], in2[15], c15);
  FA_32 FA_17(sum[16], c17, in1[16], in2[16], c16);
  FA_32 FA_18(sum[17], c18, in1[17], in2[17], c17);
  FA_32 FA_19(sum[18], c19, in1[18], in2[18], c18);
  FA_32 FA_20(sum[19], c20, in1[19], in2[19], c19);
  FA_32 FA_21(sum[20], c21, in1[20], in2[20], c20);
  FA_32 FA_22(sum[21], c22, in1[21], in2[21], c21);
  FA_32 FA_23(sum[22], c23, in1[22], in2[22], c22);
  FA_32 FA_24(sum[23], c24, in1[23], in2[23], c23);
  FA_32 FA_25(sum[24], c25, in1[24], in2[24], c24);
  FA_32 FA_26(sum[25], c26, in1[25], in2[25], c25);
  FA_32 FA_27(sum[26], c27, in1[26], in2[26], c26);
  FA_32 FA_28(sum[27], c28, in1[27], in2[27], c27);
  FA_32 FA_29(sum[28], c29, in1[28], in2[28], c28);
  FA_32 FA_30(sum[29], c30, in1[29], in2[29], c29);
  FA_32 FA_31(sum[30], c31, in1[30], in2[30], c30);
  FA_32 FA_32(sum[31], cout, in1[31"
N/A,N/A,-0.5,6.0,1,"module adder_32(output [31:0] sum,
                      output cout,
                      input [31:0] in1, in2,
                      input cin);

    wire [31:0] sum;
    wire cout;
    wire [31:0] in1;
    wire [31:0] in2;
    wire cin;

    and(sum[0], in1[0], in2[0], cin);
    and(sum[1], in1[1], in2[1], cin);
    and(sum[2], in1[2], in2[2], cin);
    and(sum[3], in1[3], in2[3], cin);
    and(sum[4], in1[4], in2[4], cin);
    and(sum[5], in1[5], in2[5], cin);
    and(sum[6], in1[6], in2[6], cin);
    and(sum[7], in1[7], in2[7], cin);
    and(sum[8], in1[8], in2[8], cin);
    and(sum[9], in1[9], in2[9], cin);
    and(sum[10], in1[10], in2[10], cin);
    and(sum[11], in1[11], in2[11], cin);
    and(sum[12], in1[12], in2[12], cin);
    and(sum[13], in1[13], in2[13], cin);
    and(sum[14], in1[14], in2[14], cin);
    and(sum[15], in1[15], in2[15], cin);
    and(sum[16], in1[16], in2[16], cin);
    and(sum[17], in1[17], in2[17], cin);
    and(sum[18], in1[18], in2[18], cin);
    and(sum[19], in1[19], in2[19], cin);
    and(sum[20], in1[20], in2[20], cin);
    and(sum[21], in1[21], in2[21], cin);
    and(sum[22], in1[22], in2[22], cin);
    and(sum[23], in1[23], in2[23], cin);
    and(sum[24], in1[24], in2[24], cin);
    and(sum[25], in1[25], in2[25], cin);
    and(sum[26], in1[26], in2[26], cin);
    and(sum[27], in1[27], in2[27], cin);
    and(sum[28], in1[28], in2[28], cin);
    and(sum[29], in1[29], in2[29], cin);
    and(sum[30], in1[30], in2[30], cin);
    and(sum[31], in1[31], in2[31], cin);

    or(cout, in1[31], in2[31], cin);
endmodule"
N/A,N/A,-1,7.0,1,"module adder_32(output [31:0] sum,
                      output cout,
                      input [31:0] in1, in2,
                      input cin); 
  wire [31:0] sum;
  wire cout;
  wire [31:0] in1, in2;
  wire cin;
  wire [31:0] carry;
  
  and(carry[0], in1[0], in2[0], cin);
  and(carry[1], in1[1], in2[1], carry[0]);
  and(carry[2], in1[2], in2[2], carry[1]);
  and(carry[3], in1[3], in2[3], carry[2]);
  and(carry[4], in1[4], in2[4], carry[3]);
  and(carry[5], in1[5], in2[5], carry[4]);
  and(carry[6], in1[6], in2[6], carry[5]);
  and(carry[7], in1[7], in2[7], carry[6]);
  and(carry[8], in1[8], in2[8], carry[7]);
  and(carry[9], in1[9], in2[9], carry[8]);
  and(carry[10], in1[10], in2[10], carry[9]);
  and(carry[11], in1[11], in2[11], carry[10]);
  and(carry[12], in1[12], in2[12], carry[11]);
  and(carry[13], in1[13], in2[13], carry[12]);
  and(carry[14], in1[14], in2[14], carry[13]);
  and(carry[15], in1[15], in2[15], carry[14]);
  and(carry[16], in1[16], in2[16], carry[15]);
  and(carry[17], in1[17], in2[17], carry[16]);
  and(carry[18], in1[18], in2[18], carry[17]);
  and(carry[19], in1[19], in2[19], carry[18]);
  and(carry[20], in1[20], in2[20], carry[19]);
  and(carry[21], in1[21], in2[21], carry[20]);
  and(carry[22], in1[22], in2[22], carry[21]);
  and(carry[23], in1[23], in2[23], carry[22]);
  and(carry[24], in1[24], in2[24], carry[23]);
  and(carry[25], in1[25], in2[25], carry[24]);
  and(carry[26], in1[26], in2[26], carry[25]);
  and(carry[27], in1[27], in2[27], carry[26]);
  and(carry[28], in1[28], in2[28], carry[27]);
  and(carry[29], in1[29], in2[29], carry[28]);
  and(carry[30], in1[30], in2[30], carry[29]);
  and(carry[31], in1[31], in2[31], carry[30]);
  
  xor(sum[0], in1[0], in2[0], carry[0]);
  xor(sum[1], in1[1], in2[1], carry[1]);
  xor(sum[2], in1[2], in2[2], carry[2]);
  xor(sum[3], in1[3], in2[3], carry[3]);
  xor(sum[4], in1[4], in2[4], carry[4]);
  xor(sum[5], in1[5], in2[5], carry[5]);
  xor(sum[6], in1[6], in2[6], carry[6]);
  xor(sum[7], in1[7], in2[7], carry[7]);
  xor(sum[8], in1[8], in2[8], carry[8]);
  xor(sum[9], in1[9], in2[9], carry[9]);
  xor(sum[10], in1[10], in2["
N/A,N/A,-1,8.0,1,"module adder_32(output [31:0] sum,
                      output cout,
                      input [31:0] in1, in2,
                      input cin);                                   
    wire [31:0] sum;
    wire cout;
    wire [31:0] in1, in2;
    wire cin;
    
    Adder_32bit adder(sum, cout, in1, in2, cin);
    
endmodule

module Adder_32bit(output [31:0] sum,
                     output cout,
                     input [31:0] in1, in2,
                     input cin);
    wire [31:0] sum;
    wire cout;
    wire [31:0] in1, in2;
    wire cin;
    
    wire [31:0] sum1, sum2, sum3, sum4, sum5, sum6, sum7, sum8, sum9, sum10, sum11, sum12, sum13, sum14, sum15, sum16, sum17, sum18, sum19, sum20, sum21, sum22, sum23, sum24, sum25, sum26, sum27, sum28, sum29, sum30, sum31;
    
    wire cout1, cout2, cout3, cout4, cout5, cout6, cout7, cout8, cout9, cout10, cout11, cout12, cout13, cout14, cout15, cout16, cout17, cout18, cout19, cout20, cout21, cout22, cout23, cout24, cout25, cout26, cout27, cout28, cout29, cout30, cout31;
    
    wire [31:0] in1_1, in2_1, in1_2, in2_2, in1_3, in2_3, in1_4, in2_4, in1_5, in2_5, in1_6, in2_6, in1_7, in2_7, in1_8, in2_8, in1_9, in2_9, in1_10, in2_10, in1_11, in2_11, in1_12, in2_12, in1_13, in2_13, in1_14, in2_14, in1_15, in2_15, in1_16, in2_16, in1_17, in2_17, in1_18, in2_18, in1_19, in2_19, in1_20, in2_20, in1_21, in2_21, in1_22, in2_22, in1_23, in2_23, in1_24, in2_24, in1_25, in2_25, in1_26, in2_26, in1_27, in2_27, in1_28, in2_28, in1_29, in2_29, in1_30, in2_30, in1_31, in2_31;
    
    wire [31:0] in1_1_, in2_1_, in1_2_, in2_2_, in1_3_, in2_3_, in1_4_, in2_4_, in1_5_, in2_5_, in1_6_, in2_6_, in1_7_, in2_7_, in1_8_, in2_8_, in1_9_, in2_9_, in1_10_, in2_10_, in1_11_, in2_11_, in1_12_, in2_12_, in1_13_, in2_13_, in1_14_, in2_14_, in1_15_, in2_15_, in1_16_, in2_16_, in1_17_, in2_17_, in1_18_, in2_18_, in1_19_, in2_19_, in1_20_, in2_20_, in1_21_, in2_21_, in1_22_, in2_22_, in1_23_, in2_23_, in1_24_, in2_24_, in1_25_, in2_25_, in1_26_, in2_26_, in1_27_, in2_27_, in"
N/A,N/A,-0.5,9.0,1,"module adder_32(output [31:0] sum,
                      output cout,
                      input [31:0] in1, in2,
                      input cin);

wire [31:0] sum;
wire cout;

////////////////


	xor(sum[0], in1[0], in2[0], cin);
	xor(sum[1], in1[1], in2[1], cin);
	xor(sum[2], in1[2], in2[2], cin);
	xor(sum[3], in1[3], in2[3], cin);
	xor(sum[4], in1[4], in2[4], cin);
	xor(sum[5], in1[5], in2[5], cin);
	xor(sum[6], in1[6], in2[6], cin);
	xor(sum[7], in1[7], in2[7], cin);
	xor(sum[8], in1[8], in2[8], cin);
	xor(sum[9], in1[9], in2[9], cin);
	xor(sum[10], in1[10], in2[10], cin);
	xor(sum[11], in1[11], in2[11], cin);
	xor(sum[12], in1[12], in2[12], cin);
	xor(sum[13], in1[13], in2[13], cin);
	xor(sum[14], in1[14], in2[14], cin);
	xor(sum[15], in1[15], in2[15], cin);
	xor(sum[16], in1[16], in2[16], cin);
	xor(sum[17], in1[17], in2[17], cin);
	xor(sum[18], in1[18], in2[18], cin);
	xor(sum[19], in1[19], in2[19], cin);
	xor(sum[20], in1[20], in2[20], cin);
	xor(sum[21], in1[21], in2[21], cin);
	xor(sum[22], in1[22], in2[22], cin);
	xor(sum[23], in1[23], in2[23], cin);
	xor(sum[24], in1[24], in2[24], cin);
	xor(sum[25], in1[25], in2[25], cin);
	xor(sum[26], in1[26], in2[26], cin);
	xor(sum[27], in1[27], in2[27], cin);
	xor(sum[28], in1[28], in2[28], cin);
	xor(sum[29], in1[29], in2[29], cin);
	xor(sum[30], in1[30], in2[30], cin);
	xor(sum[31], in1[31], in2[31], cin);
	xor(cout, in1[31], in2[31], cin);

endmodule"
N/A,N/A,-1,10.0,1,"module adder_32(output [31:0] sum,
                      output cout,
                      input [31:0] in1, in2,
                      input cin);  
  wire [31:0] sum;
  wire cout;
  wire [31:0] in1, in2;
  wire cin;
  wire [31:0] carry;
  
  ////////////////////////////////================================================================
  latch_32 l1(sum, in1, in2, cin);
  latch_32 l2(carry, in1, in2, 1'b0);
  latch_1 c1(cout, carry, cin);
  red_flip_flop_32 rf1(sum, carry, in1, in2);
  rd_flip_flop_32 rf2(sum, cout, in1, in2);
  ltlatch_32 lt1(carry, in1, in2);
  ltlatch_1 lt2(cout, carry, in1, in2);
  high_flip_flop_32 hf1(carry, in1, in2);
  high_flip_flop_1 hf2(cout, carry, in1, in2);
  down_counter_32 d1(carry, in1, in2);
  down_counter_1 d2(cout, carry, in1, in2);
  sp_ram_32 ram1(sum, in1, in2);
  sp_ram_1 ram2(carry, in1, in2);
  squash_32 s1(sum, in1, in2);
  squash_1 s2(carry, in1, in2);
  arith_logic_32 al1(sum, in1, in2, cin);
  arith_logic_1 al2(carry, in1, in2, cin);
  pop_count_32 pc1(sum, in1, in2);
  pop_count_1 pc2(carry, in1, in2);
  flash_32 f1(sum, in1, in2);
  flash_1 f2(carry, in1, in2);
  ternary_32 t1(sum, in1, in2, cin);
  ternary_1 t2(carry, in1, in2, cin);
  pex_block_32 pe1(sum, in1, in2, cin);
  pex_block_1 pe2(carry, in1, in2, cin);
  pex_block_32 pe3(sum, in1, in2, 1'b0);
  pex_block_1 pe4(carry, in1, in2, 1'b0);
  pex_block_32 pe5(sum, in1, in2, 1'b1);
  pex_block_1 pe6(carry, in1, in2, 1'b1);
  center_32 c1(sum, in1, in2);
  center_1 c2(carry, in1, in2);
  center_32 c3(sum, in1, in2);
  center_1 c4(carry, in1, in2);
  center_32 c5(sum, in1, in2);
  center_1 c6(carry, in1, in2);
  center_32 c7(sum, in1, in2);
  center_1 c8(carry, in1, in2);
  center_32 c9(sum, in1, in2);
  center_1 c10(carry, in1, in2);
  center_32 c11(sum, in1, in2);
  center_1 c12(carry, in1, in2);
  center_32 c13(sum, in1, in2);
  center_1 c14(carry, in1, in2);
  center_32 c15(sum, in1, in2);
  center_1 c16(carry, in1, in2);
  center_32 c17(sum, in1, in2);
  center_1 c18(carry, in1, in2);
  center_32 c19(sum, in1, in2);
  center_1 c20(carry, in1, in2);
  center_32 c21(sum, in1, in2);
  center_1 c22(carry, in1, in2);"
N/A,N/A,-1,11.0,1,"module adder_32(output [31:0] sum,
                      output cout,
                      input [31:0] in1, in2,
                      input cin);

  wire [31:0] sum;
  wire cout;
  wire [31:0] in1;
  wire [31:0] in2;
  wire cin;

  parameter [31:0] carry_in = 0;

  and(sum[0], in1[0], in2[0], carry_in[0]);
  and(sum[1], in1[1], in2[1], carry_in[0]);
  and(sum[2], in1[2], in2[2], carry_in[0]);
  and(sum[3], in1[3], in2[3], carry_in[0]);
  and(sum[4], in1[4], in2[4], carry_in[0]);
  and(sum[5], in1[5], in2[5], carry_in[0]);
  and(sum[6], in1[6], in2[6], carry_in[0]);
  and(sum[7], in1[7], in2[7], carry_in[0]);
  and(sum[8], in1[8], in2[8], carry_in[0]);
  and(sum[9], in1[9], in2[9], carry_in[0]);
  and(sum[10], in1[10], in2[10], carry_in[0]);
  and(sum[11], in1[11], in2[11], carry_in[0]);
  and(sum[12], in1[12], in2[12], carry_in[0]);
  and(sum[13], in1[13], in2[13], carry_in[0]);
  and(sum[14], in1[14], in2[14], carry_in[0]);
  and(sum[15], in1[15], in2[15], carry_in[0]);
  and(sum[16], in1[16], in2[16], carry_in[0]);
  and(sum[17], in1[17], in2[17], carry_in[0]);
  and(sum[18], in1[18], in2[18], carry_in[0]);
  and(sum[19], in1[19], in2[19], carry_in[0]);
  and(sum[20], in1[20], in2[20], carry_in[0]);
  and(sum[21], in1[21], in2[21], carry_in[0]);
  and(sum[22], in1[22], in2[22], carry_in[0]);
  and(sum[23], in1[23], in2[23], carry_in[0]);
  and(sum[24], in1[24], in2[24], carry_in[0]);
  and(sum[25], in1[25], in2[25], carry_in[0]);
  and(sum[26], in1[26], in2[26], carry_in[0]);
  and(sum[27], in1[27], in2[27], carry_in[0]);
  and(sum[28], in1[28], in2[28], carry_in[0]);
  and(sum[29], in1[29], in2[29], carry_in[0]);
  and(sum[30], in1[30], in2[30], carry_in[0]);
  and(sum[31], in1[31], in2[31], carry_in[0]);
  and(cout, in1[31], in2[31], carry_in[0]);

  xor(sum[0], in1[0], in2[0], carry_in[0]);
  xor(sum[1], in1[1], in2[1], carry_in[0]);
  xor(sum[2], in1[2], in2[2], carry_in[0]);
  xor(sum[3], in1[3], in2[3], carry_in[0]);
  xor(sum[4], in1[4], in2[4], carry_in[0]);
  xor(sum[5], in1[5], in2[5], carry_in[0]);
"
