Area,Delay,Score,Current Run,Episode,Verilog
N/A,N/A,-1,2.0,1,"//Design a 16-bit adder.
//There are two 16 bit inputs (in1 and in2) and a single carry-in input bit, cin.
//The outputs are a 16 bit value, [15:0] sum, and a single carry-out output bit, cout.
//The module should utilize the inputs (in1 and in2) and the cin bit to obtain the output sum and cout values.
module adder_16(output [15:0] sum,
                      output cout,
                      input [15:0] in1, in2,
                      input cin);
  wire c1, c2, c3, c4, c5, c6, c7, c8, c9, c10, c11, c12, c13, c14, c15;
  wire [15:0] sum1, sum2, sum3, sum4, sum5, sum6, sum7, sum8, sum9, sum10, sum11, sum12, sum13, sum14, sum15;
  
  full_adder_16 FA1(sum1, c1, in1[0], in2[0], cin);
  full_adder_16 FA2(sum2, c2, in1[1], in2[1], c1);
  full_adder_16 FA3(sum3, c3, in1[2], in2[2], c2);
  full_adder_16 FA4(sum4, c4, in1[3], in2[3], c3);
  full_adder_16 FA5(sum5, c5, in1[4], in2[4], c4);
  full_adder_16 FA6(sum6, c6, in1[5], in2[5], c5);
  full_adder_16 FA7(sum7, c7, in1[6], in2[6], c6);
  full_adder_16 FA8(sum8, c8, in1[7], in2[7], c7);
  full_adder_16 FA9(sum9, c9, in1[8], in2[8], c8);
  full_adder_16 FA10(sum10, c10, in1[9], in2[9], c9);
  full_adder_16 FA11(sum11, c11, in1[10], in2[10], c10);
  full_adder_16 FA12(sum12, c12, in1[11], in2[11], c11);
  full_adder_16 FA13(sum13, c13, in1[12], in2[12], c12);
  full_adder_16 FA14(sum14, c14, in1[13], in2[13], c13);
  full_adder_16 FA15(sum15, c15, in1[14], in2[14], c14);
  
  full_adder_16 FA16(sum, cout, in1[15], in2[15], c15);
endmodule

module full_adder_16(output [15:0] sum,
                      output cout,
                      input in1, in2,
                      input cin);
  wire c1, c2, c3, c4, c5, c6, c7, c8, c9, c10, c11, c12, c13, c14, c15;
  wire [15:0] sum1, sum2, sum3, sum4, sum5, sum6, sum7, sum8, sum9, sum10, sum11, sum12, sum13, sum14, sum15;
  
  half_adder HA1(sum1, c1, in1, in2);
  half_adder HA2(sum2, c2, in1, in2);
  half_adder HA3(sum3, c3, in1, in2);
  half_adder HA4(sum4, c4, in1, in2);
  half_adder HA5(sum5, c5, in1, in2);
  half_adder HA6(sum6, c6, in1, in2);
  half_adder HA7(sum7, c7, in1, in2);
  half_adder HA8(sum8, c8, in1, in2);
  half_adder HA9(sum9, c9, in1, in2);
  half_adder HA10(sum10, c10, in1, in2);
  half_adder HA11(sum11, c11, in1, in2);
  half_adder HA12(sum12, c12, in1, in2);
  half_adder HA13(sum13, c13, in1, in2);
  half_adder HA14(sum14, c14, in1, in2);
  half_adder HA15(sum15"
N/A,N/A,-0.1,3.0,1,"//Design a 16-bit adder.
//There are two 16 bit inputs (in1 and in2) and a single carry-in input bit, cin.
//The outputs are a 16 bit value, [15:0] sum, and a single carry-out output bit, cout.
//The module should utilize the inputs (in1 and in2) and the cin bit to obtain the output sum and cout values.
module adder_16(output [15:0] sum,
                      output cout,
                      input [15:0] in1, in2,
                      input cin);

    wire [15:0] sum;
    wire cout;
    wire [15:0] in1;
    wire [15:0] in2;
    wire cin;

    wire [15:0] sum_temp;
    wire cout_temp;
    wire [15:0] in1_temp;
    wire [15:0] in2_temp;
    wire cin_temp;

    assign sum_temp = in1 + in2;
    assign cout_temp = cin + (in1 & in2);

    assign sum = sum_temp[15:0];
    assign cout = cout_temp;

    assign in1_temp = in1;
    assign in2_temp = in2;
    assign cin_temp = cin;

    assign {cout, sum} = in1_temp + in2_temp + cin_temp;

endmodule"
N/A,N/A,-1,4.0,1,"//Design a 16-bit adder.
//There are two 16 bit inputs (in1 and in2) and a single carry-in input bit, cin.
//The outputs are a 16 bit value, [15:0] sum, and a single carry-out output bit, cout.
//The module should utilize the inputs (in1 and in2) and the cin bit to obtain the output sum and cout values.
module adder_16(output [15:0] sum,
                      output cout,
                      input [15:0] in1, in2,
                      input cin);    
    
    wire [15:0] sum;
    wire cout;
    
    wire [15:0] in1_full;
    wire [15:0] in2_full;
    
    wire [15:0] sum_full;
    wire cout_full;
    
    wire [15:0] in1_full_temp;
    wire [15:0] in2_full_temp;
    
    wire [15:0] sum_full_temp;
    wire cout_full_temp;
    
    wire [15:0] in1_temp;
    wire [15:0] in2_temp;
    
    wire [15:0] sum_temp;
    wire cout_temp;
    
    wire [15:0] in1_temp_temp;
    wire [15:0] in2_temp_temp;
    
    wire [15:0] sum_temp_temp;
    wire cout_temp_temp;
    
    wire [15:0] in1_temp_temp_temp;
    wire [15:0] in2_temp_temp_temp;
    
    wire [15:0] sum_temp_temp_temp;
    wire cout_temp_temp_temp;
    
    wire [15:0] in1_temp_temp_temp_temp;
    wire [15:0] in2_temp_temp_temp_temp;
    
    wire [15:0] sum_temp_temp_temp_temp;
    wire cout_temp_temp_temp_temp;
    
    wire [15:0] in1_temp_temp_temp_temp_temp;
    wire [15:0] in2_temp_temp_temp_temp_temp;
    
    wire [15:0] sum_temp_temp_temp_temp;
    wire cout_temp_temp_temp_temp;
    
    wire [15:0] in1_temp_temp_temp_temp_temp_temp;
    wire [15:0] in2_temp_temp_temp_temp_temp_temp;
    
    wire [15:0] sum_temp_temp_temp_temp_temp;
    wire cout_temp_temp_temp_temp_temp;
    
    wire [15:0] in1_temp_temp_temp_temp_temp_temp_temp;
    wire [15:0] in2_temp_temp_temp_temp_temp_temp_temp;
    
    wire [15:0] sum_temp_temp_temp_temp_temp;
    wire cout_temp_temp_temp_temp_temp;
    
    wire [15:0] in1_temp_temp_temp_temp_temp_temp_temp;
    wire [15:0] in2_temp_temp_temp_temp_temp_temp_temp;
    
    wire [15:0] sum_temp_temp_temp_temp_temp;
    wire cout_temp_temp_temp_temp_temp;
    
    wire [15:0] in1_temp_temp_temp_temp_temp_temp_temp;
    wire [15:0] in2_temp_temp_temp_temp_temp_temp_temp;
    
    wire [15:0] sum_temp_temp_temp_temp_temp;
    wire cout_temp_temp_temp_temp_temp;
    
    wire [15:0] in1_temp_temp_temp_temp_temp_temp_temp;
    wire [15:0] in2_temp_temp_temp_temp_temp_temp_temp;
    
    wire [15:0] sum_temp_temp_temp_temp_temp;
    wire cout_temp_temp_temp_temp_temp;
    
    wire [15:0] in1_temp_temp_temp_temp_temp_temp_temp;
    wire [15:0] in2_temp_temp_temp_temp_temp_temp_temp;
    
    wire [15:0] sum_temp_temp_temp_temp_temp;
    wire cout_temp_temp_temp_temp_temp;
    
    wire [15:0] in1_temp_temp_temp_temp_temp_temp_"
N/A,N/A,-0.1,5.0,1,"//Design a 16-bit adder.
//There are two 16 bit inputs (in1 and in2) and a single carry-in input bit, cin.
//The outputs are a 16 bit value, [15:0] sum, and a single carry-out output bit, cout.
//The module should utilize the inputs (in1 and in2) and the cin bit to obtain the output sum and cout values.
module adder_16(output [15:0] sum,
                      output cout,
                      input [15:0] in1, in2,
                      input cin);

    wire [15:0] sum;
    wire cout;
    wire [15:0] in1;
    wire [15:0] in2;
    wire cin;

    wire [15:0] sum_temp;
    wire cout_temp;
    wire [15:0] in1_temp;
    wire [15:0] in2_temp;
    wire cin_temp;

    assign sum_temp = in1 + in2;
    assign cout_temp = cin + (in1 & in2);

    assign sum = sum_temp[15:0];
    assign cout = cout_temp;

    assign in1_temp = in1;
    assign in2_temp = in2;
    assign cin_temp = cin;

    assign {cout, sum} = in1_temp + in2_temp + cin_temp;

endmodule"
N/A,N/A,-1,6.0,1,"//Design a 16-bit adder.
//There are two 16 bit inputs (in1 and in2) and a single carry-in input bit, cin.
//The outputs are a 16 bit value, [15:0] sum, and a single carry-out output bit, cout.
//The module should utilize the inputs (in1 and in2) and the cin bit to obtain the output sum and cout values.
module adder_16(output [15:0] sum,
                      output cout,
                      input [15:0] in1, in2,
                      input cin);
  wire c1, c2, c3, c4, c5, c6, c7, c8, c9, c10, c11, c12, c13, c14, c15;
  wire [15:0] sum1, sum2, sum3, sum4, sum5, sum6, sum7, sum8, sum9, sum10, sum11, sum12, sum13, sum14, sum15;
  
  full_adder_16 FA1(sum1, c1, in1[0], in2[0], cin);
  full_adder_16 FA2(sum2, c2, in1[1], in2[1], c1);
  full_adder_16 FA3(sum3, c3, in1[2], in2[2], c2);
  full_adder_16 FA4(sum4, c4, in1[3], in2[3], c3);
  full_adder_16 FA5(sum5, c5, in1[4], in2[4], c4);
  full_adder_16 FA6(sum6, c6, in1[5], in2[5], c5);
  full_adder_16 FA7(sum7, c7, in1[6], in2[6], c6);
  full_adder_16 FA8(sum8, c8, in1[7], in2[7], c7);
  full_adder_16 FA9(sum9, c9, in1[8], in2[8], c8);
  full_adder_16 FA10(sum10, c10, in1[9], in2[9], c9);
  full_adder_16 FA11(sum11, c11, in1[10], in2[10], c10);
  full_adder_16 FA12(sum12, c12, in1[11], in2[11], c11);
  full_adder_16 FA13(sum13, c13, in1[12], in2[12], c12);
  full_adder_16 FA14(sum14, c14, in1[13], in2[13], c13);
  full_adder_16 FA15(sum15, c15, in1[14], in2[14], c14);
  
  full_adder_16 FA16(sum, cout, in1[15], in2[15], c15);
endmodule

module full_adder_16(output [15:0] sum,
                      output cout,
                      input in1, in2,
                      input cin);
  wire c1, c2, c3, c4, c5, c6, c7, c8, c9, c10, c11, c12, c13, c14, c15;
  wire [15:0] sum1, sum2, sum3, sum4, sum5, sum6, sum7, sum8, sum9, sum10, sum11, sum12, sum13, sum14, sum15;
  
  half_adder HA1(sum1, c1, in1, in2);
  half_adder HA2(sum2, c2, in1, in2);
  half_adder HA3(sum3, c3, in1, in2);
  half_adder HA4(sum4, c4, in1, in2);
  half_adder HA5(sum5, c5, in1, in2);
  half_adder HA6(sum6, c6, in1, in2);
  half_adder HA7(sum7, c7, in1, in2);
  half_adder HA8(sum8, c8, in1, in2);
  half_adder HA9(sum9, c9, in1, in2);
  half_adder HA10(sum10, c10, in1, in2);
  half_adder HA11(sum11, c11, in1, in2);
  half_adder HA12(sum12, c12, in1, in2);
  half_adder HA13(sum13, c13, in1, in2);
  half_adder HA14(sum14, c14, in1, in2);
  half_adder HA15(sum15"
N/A,N/A,-1,7.0,1,"//Design a 16-bit adder.
//There are two 16 bit inputs (in1 and in2) and a single carry-in input bit, cin.
//The outputs are a 16 bit value, [15:0] sum, and a single carry-out output bit, cout.
//The module should utilize the inputs (in1 and in2) and the cin bit to obtain the output sum and cout values.
module adder_16(output [15:0] sum,
                      output cout,
                      input [15:0] in1, in2,
                      input cin);

  wire [15:0] sum;
  wire cout;
  wire [15:0] in1;
  wire [15:0] in2;
  wire cin;

  wire [15:0] sum;
  wire cout;
  wire [15:0] in1;
  wire [15:0] in2;
  wire cin;

  wire [15:0] sum;
  wire cout;
  wire [15:0] in1;
  wire [15:0] in2;
  wire cin;

  wire [15:0] sum;
  wire cout;
  wire [15:0] in1;
  wire [15:0] in2;
  wire cin;

  wire [15:0] sum;
  wire cout;
  wire [15:0] in1;
  wire [15:0] in2;
  wire cin;

  wire [15:0] sum;
  wire cout;
  wire [15:0] in1;
  wire [15:0] in2;
  wire cin;

  wire [15:0] sum;
  wire cout;
  wire [15:0] in1;
  wire [15:0] in2;
  wire cin;

  wire [15:0] sum;
  wire cout;
  wire [15:0] in1;
  wire [15:0] in2;
  wire cin;

  wire [15:0] sum;
  wire cout;
  wire [15:0] in1;
  wire [15:0] in2;
  wire cin;

  wire [15:0] sum;
  wire cout;
  wire [15:0] in1;
  wire [15:0] in2;
  wire cin;

  wire [15:0] sum;
  wire cout;
  wire [15:0] in1;
  wire [15:0] in2;
  wire cin;

  wire [15:0] sum;
  wire cout;
  wire [15:0] in1;
  wire [15:0] in2;
  wire cin;

  wire [15:0] sum;
  wire cout;
  wire [15:0] in1;
  wire [15:0] in2;
  wire cin;

  wire [15:0] sum;
  wire cout;
  wire [15:0] in1;
  wire [15:0] in2;
  wire cin;

  wire [15:0] sum;
  wire cout;
  wire [15:0] in1;
  wire [15:0] in2;
  wire cin;

  wire [15:0] sum;
  wire cout;
  wire [15:0] in1;
  wire [15:0] in2;
  wire cin;

  wire [15:0] sum;
  wire cout;
  wire [15:0] in1;
  wire [15:0] in2;
  wire cin;

  wire [15:0] sum;
  wire cout;
  wire [15:0] in1;
  wire [15:0] in2;
  wire cin;

  wire [15:0] sum;
  wire cout;
  wire [15:0] in1;
  wire [15:0] in2;
  wire cin;

  wire [15:0] sum;
  wire cout;
  wire [15:0] in1;
  wire [15:0] in2;
  wire cin;

  wire [15:0] sum;
  wire cout;
  wire [15:0] in1;
  wire [15:0] in2;
  wire cin;

  wire [15:0] sum;
  wire cout;
  wire [15:0] in1;
  wire [15:0] in2;
  wire cin;

  wire [15:0] sum;
  wire cout;
  wire [15:0] in1;
  wire [15:0] in2;
  wire cin;

  wire [15:0] sum;
"
144.438,613.72,0.5,8.0,1,"//Design a 16-bit adder.
//There are two 16 bit inputs (in1 and in2) and a single carry-in input bit, cin.
//The outputs are a 16 bit value, [15:0] sum, and a single carry-out output bit, cout.
//The module should utilize the inputs (in1 and in2) and the cin bit to obtain the output sum and cout values.
module adder_16(output [15:0] sum,
                      output cout,
                      input [15:0] in1, in2,
                      input cin); 
  wire c1, c2, c3;
  full_adder FA1(sum[0], c1, in1[0], in2[0], cin);
  full_adder FA2(sum[1], c2, in1[1], in2[1], c1);
  full_adder FA3(sum[2], c3, in1[2], in2[2], c2);
  full_adder FA4(sum[3], cout, in1[3], in2[3], c3);
  full_adder FA5(sum[4], c4, in1[4], in2[4], c3);
  full_adder FA6(sum[5], c5, in1[5], in2[5], c4);
  full_adder FA7(sum[6], c6, in1[6], in2[6], c5);
  full_adder FA8(sum[7], c7, in1[7], in2[7], c6);
  full_adder FA9(sum[8], c8, in1[8], in2[8], c7);
  full_adder FA10(sum[9], c9, in1[9], in2[9], c8);
  full_adder FA11(sum[10], c10, in1[10], in2[10], c9);
  full_adder FA12(sum[11], c11, in1[11], in2[11], c10);
  full_adder FA13(sum[12], c12, in1[12], in2[12], c11);
  full_adder FA14(sum[13], c13, in1[13], in2[13], c12);
  full_adder FA15(sum[14], c14, in1[14], in2[14], c13);
  full_adder FA16(sum[15], cout, in1[15], in2[15], c14);
endmodule

module full_adder(output sum,
                  output cout,
                  input in1,
                  input in2,
                  input cin);
  wire a, b, c;
  xor(a, in1, in2);
  xor(sum, a, cin);
  and(b, a, cin);
  and(c, in1, in2);
  or(cout, b, c);
endmodule"
144.438,613.72,0.5,9.0,1,"//Design a 16-bit adder.
//There are two 16 bit inputs (in1 and in2) and a single carry-in input bit, cin.
//The outputs are a 16 bit value, [15:0] sum, and a single carry-out output bit, cout.
//The module should utilize the inputs (in1 and in2) and the cin bit to obtain the output sum and cout values.
module adder_16(output [15:0] sum,
                      output cout,
                      input [15:0] in1, in2,
                      input cin); 
  wire c1, c2, c3;
  full_adder FA1(sum[0], c1, in1[0], in2[0], cin);
  full_adder FA2(sum[1], c2, in1[1], in2[1], c1);
  full_adder FA3(sum[2], c3, in1[2], in2[2], c2);
  full_adder FA4(sum[3], cout, in1[3], in2[3], c3);
  full_adder FA5(sum[4], c4, in1[4], in2[4], c3);
  full_adder FA6(sum[5], c5, in1[5], in2[5], c4);
  full_adder FA7(sum[6], c6, in1[6], in2[6], c5);
  full_adder FA8(sum[7], c7, in1[7], in2[7], c6);
  full_adder FA9(sum[8], c8, in1[8], in2[8], c7);
  full_adder FA10(sum[9], c9, in1[9], in2[9], c8);
  full_adder FA11(sum[10], c10, in1[10], in2[10], c9);
  full_adder FA12(sum[11], c11, in1[11], in2[11], c10);
  full_adder FA13(sum[12], c12, in1[12], in2[12], c11);
  full_adder FA14(sum[13], c13, in1[13], in2[13], c12);
  full_adder FA15(sum[14], c14, in1[14], in2[14], c13);
  full_adder FA16(sum[15], cout, in1[15], in2[15], c14);
endmodule

module full_adder(output sum,
                  output cout,
                  input in1,
                  input in2,
                  input cin);
  wire a, b, c;
  xor(a, in1, in2);
  xor(sum, a, cin);
  and(b, a, cin);
  and(c, in1, in2);
  or(cout, b, c);
endmodule"
144.438,613.72,0.5,10.0,1,"//Design a 16-bit adder.
//There are two 16 bit inputs (in1 and in2) and a single carry-in input bit, cin.
//The outputs are a 16 bit value, [15:0] sum, and a single carry-out output bit, cout.
//The module should utilize the inputs (in1 and in2) and the cin bit to obtain the output sum and cout values.
module adder_16(output [15:0] sum,
                      output cout,
                      input [15:0] in1, in2,
                      input cin); 
  wire c1, c2, c3;
  full_adder FA1(sum[0], c1, in1[0], in2[0], cin);
  full_adder FA2(sum[1], c2, in1[1], in2[1], c1);
  full_adder FA3(sum[2], c3, in1[2], in2[2], c2);
  full_adder FA4(sum[3], cout, in1[3], in2[3], c3);
  full_adder FA5(sum[4], c4, in1[4], in2[4], c3);
  full_adder FA6(sum[5], c5, in1[5], in2[5], c4);
  full_adder FA7(sum[6], c6, in1[6], in2[6], c5);
  full_adder FA8(sum[7], c7, in1[7], in2[7], c6);
  full_adder FA9(sum[8], c8, in1[8], in2[8], c7);
  full_adder FA10(sum[9], c9, in1[9], in2[9], c8);
  full_adder FA11(sum[10], c10, in1[10], in2[10], c9);
  full_adder FA12(sum[11], c11, in1[11], in2[11], c10);
  full_adder FA13(sum[12], c12, in1[12], in2[12], c11);
  full_adder FA14(sum[13], c13, in1[13], in2[13], c12);
  full_adder FA15(sum[14], c14, in1[14], in2[14], c13);
  full_adder FA16(sum[15], cout, in1[15], in2[15], c14);
endmodule

module full_adder(output sum,
                  output cout,
                  input in1,
                  input in2,
                  input cin);
  wire a, b, c;
  xor(a, in1, in2);
  xor(sum, a, cin);
  and(b, a, cin);
  and(c, in1, in2);
  or(cout, b, c);
endmodule"
144.438,613.72,0.5,11.0,1,"//Design a 16-bit adder.
//There are two 16 bit inputs (in1 and in2) and a single carry-in input bit, cin.
//The outputs are a 16 bit value, [15:0] sum, and a single carry-out output bit, cout.
//The module should utilize the inputs (in1 and in2) and the cin bit to obtain the output sum and cout values.
module adder_16(output [15:0] sum,
                      output cout,
                      input [15:0] in1, in2,
                      input cin); 
  wire c1, c2, c3;
  full_adder FA1(sum[0], c1, in1[0], in2[0], cin);
  full_adder FA2(sum[1], c2, in1[1], in2[1], c1);
  full_adder FA3(sum[2], c3, in1[2], in2[2], c2);
  full_adder FA4(sum[3], cout, in1[3], in2[3], c3);
  full_adder FA5(sum[4], c4, in1[4], in2[4], c3);
  full_adder FA6(sum[5], c5, in1[5], in2[5], c4);
  full_adder FA7(sum[6], c6, in1[6], in2[6], c5);
  full_adder FA8(sum[7], c7, in1[7], in2[7], c6);
  full_adder FA9(sum[8], c8, in1[8], in2[8], c7);
  full_adder FA10(sum[9], c9, in1[9], in2[9], c8);
  full_adder FA11(sum[10], c10, in1[10], in2[10], c9);
  full_adder FA12(sum[11], c11, in1[11], in2[11], c10);
  full_adder FA13(sum[12], c12, in1[12], in2[12], c11);
  full_adder FA14(sum[13], c13, in1[13], in2[13], c12);
  full_adder FA15(sum[14], c14, in1[14], in2[14], c13);
  full_adder FA16(sum[15], cout, in1[15], in2[15], c14);
endmodule

module full_adder(output sum,
                  output cout,
                  input in1,
                  input in2,
                  input cin);
  wire a, b, c;
  xor(a, in1, in2);
  xor(sum, a, cin);
  and(b, a, cin);
  and(c, in1, in2);
  or(cout, b, c);
endmodule"
