Area,Delay,Score,Current Run,Episode,Verilog
7574.616,2663.26,0.1,2.0,1,"//Please finish designing the 32 bit multiplier module (multiplier_32) below.
//There are two 32 bit inputs (A and B) and a 64 bit output (product).
//The module should utilize the inputs (A and B) to determine the output product correctly.
//The module should also utilize the completed 16 bit multiplier (listed below) within the 32 bit module in implementation.

module multiplier_16(output [31:0] product, input [15:0] A, B);
	assign product = A * B;
endmodule

module multiplier_32(output [63:0] product, input [31:0] A, B);
	assign product = A * B;
endmodule"
7574.616,2663.26,0.1,3.0,1,"//Please finish designing the 32 bit multiplier module (multiplier_32) below.
//There are two 32 bit inputs (A and B) and a 64 bit output (product).
//The module should utilize the inputs (A and B) to determine the output product correctly.
//The module should also utilize the completed 16 bit multiplier (listed below) within the 32 bit module in implementation.

module multiplier_16(output [31:0] product, input [15:0] A, B);
	assign product = A * B;
endmodule

module multiplier_32(output [63:0] product, input [31:0] A, B);
	assign product = A * B;
endmodule"
7574.616,2663.26,0.1,4.0,1,"//Please finish designing the 32 bit multiplier module (multiplier_32) below.
//There are two 32 bit inputs (A and B) and a 64 bit output (product).
//The module should utilize the inputs (A and B) to determine the output product correctly.
//The module should also utilize the completed 16 bit multiplier (listed below) within the 32 bit module in implementation.

module multiplier_16(output [31:0] product, input [15:0] A, B);
	assign product = A * B;
endmodule

module multiplier_32(output [63:0] product, input [31:0] A, B);
	assign product = A * B;
endmodule"
7574.616,2663.26,0.1,5.0,1,"//Please finish designing the 32 bit multiplier module (multiplier_32) below.
//There are two 32 bit inputs (A and B) and a 64 bit output (product).
//The module should utilize the inputs (A and B) to determine the output product correctly.
//The module should also utilize the completed 16 bit multiplier (listed below) within the 32 bit module in implementation.

module multiplier_16(output [31:0] product, input [15:0] A, B);
	assign product = A * B;
endmodule

module multiplier_32(output [63:0] product, input [31:0] A, B);
	assign product = A * B;
endmodule"
7574.616,2663.26,0.1,6.0,1,"//Please finish designing the 32 bit multiplier module (multiplier_32) below.
//There are two 32 bit inputs (A and B) and a 64 bit output (product).
//The module should utilize the inputs (A and B) to determine the output product correctly.
//The module should also utilize the completed 16 bit multiplier (listed below) within the 32 bit module in implementation.

module multiplier_16(output [31:0] product, input [15:0] A, B);
	assign product = A * B;
endmodule

module multiplier_32(output [63:0] product, input [31:0] A, B);
	assign product = A * B;
endmodule"
7574.616,2663.26,0.1,7.0,1,"//Please finish designing the 32 bit multiplier module (multiplier_32) below.
//There are two 32 bit inputs (A and B) and a 64 bit output (product).
//The module should utilize the inputs (A and B) to determine the output product correctly.
//The module should also utilize the completed 16 bit multiplier (listed below) within the 32 bit module in implementation.

module multiplier_16(output [31:0] product, input [15:0] A, B);
	assign product = A * B;
endmodule

module multiplier_32(output [63:0] product, input [31:0] A, B);
	assign product = A * B;
endmodule"
7574.616,2663.26,0.1,8.0,1,"//Please finish designing the 32 bit multiplier module (multiplier_32) below.
//There are two 32 bit inputs (A and B) and a 64 bit output (product).
//The module should utilize the inputs (A and B) to determine the output product correctly.
//The module should also utilize the completed 16 bit multiplier (listed below) within the 32 bit module in implementation.

module multiplier_16(output [31:0] product, input [15:0] A, B);
	assign product = A * B;
endmodule

module multiplier_32(output [63:0] product, input [31:0] A, B);   
	assign product = A * B;
endmodule"
N/A,N/A,-0.1,9.0,1,"//Please finish designing the 32 bit multiplier module (multiplier_32) below.
//There are two 32 bit inputs (A and B) and a 64 bit output (product).
//The module should utilize the inputs (A and B) to determine the output product correctly.
//The module should also utilize the completed 16 bit multiplier (listed below) within the 32 bit module in implementation.

module multiplier_16(output [31:0] product, input [15:0] A, B);
	assign product = A * B;
endmodule

module multiplier_32(output [63:0] product, input [31:0] A, B);
	wire [15:0] product_16;
	wire [31:0] product_32;
	
	multiplier_16 m16_1(product_16, A, B);
	multiplier_16 m16_2(product_32, {16'b0, product_16[15:0]}, {16'b0, product_16[31:16]});
	
	assign product = {product_32[63:32], product_16[15:0]};
endmodule"
7574.616,2663.26,0.1,10.0,1,"//Please finish designing the 32 bit multiplier module (multiplier_32) below.
//There are two 32 bit inputs (A and B) and a 64 bit output (product).
//The module should utilize the inputs (A and B) to determine the output product correctly.
//The module should also utilize the completed 16 bit multiplier (listed below) within the 32 bit module in implementation.

module multiplier_16(output [31:0] product, input [15:0] A, B);
	assign product = A * B;
endmodule

module multiplier_32(output [63:0] product, input [31:0] A, B);
	assign product = A * B;
endmodule"
7574.616,2663.26,0.1,11.0,1,"//Please finish designing the 32 bit multiplier module (multiplier_32) below.
//There are two 32 bit inputs (A and B) and a 64 bit output (product).
//The module should utilize the inputs (A and B) to determine the output product correctly.
//The module should also utilize the completed 16 bit multiplier (listed below) within the 32 bit module in implementation.

module multiplier_16(output [31:0] product, input [15:0] A, B);
	assign product = A * B;
endmodule

module multiplier_32(output [63:0] product, input [31:0] A, B);
	assign product = A * B;
endmodule"
